Transaction Date,Customer,TransLineID,TransID,Num,Dim1,Dim2,Dim3,Expression1,Expression2,Expression3
12/03/2022,Customer 1,2,23,24,A,a,X,11,0,0.01787
24/05/2022,Customer 1,3,23,24,C,f,X,25,3,0.39247
22/05/2022,Customer 1,4,23,24,A,a,Z,89,0,0.00064
01/01/2022,Customer 1,1,24,25,B,d,Z,229,1,0.19092
03/01/2022,Customer 1,2,24,25,B,d,X,237,0,0.13750
13/01/2022,Customer 1,1,25,26,A,a,Z,20,0,0.05693
21/04/2022,Customer 1,1,26,1,C,f,Y,472,0,0.93481
10/03/2022,Customer 1,1,27,2,B,c,X,66,0,0.03369
19/05/2022,Customer 1,2,27,2,A,b,Y,14,1,0.13722
01/02/2022,Customer 1,3,27,2,A,a,Y,34,0,0.04925
05/02/2022,Customer 1,4,27,2,A,b,Y,131,0,0.14515
14/04/2022,Customer 1,1,28,3,A,a,Y,44,0,0.04427
22/02/2022,Customer 1,2,28,3,A,a,Z,36,0,0.15022
11/03/2022,Customer 1,1,29,4,C,f,X,272,0,0.78466
21/01/2022,Customer 1,2,29,4,C,e,Z,157,2,0.62579
22/02/2022,Customer 1,1,30,5,B,d,X,3,2,0.24622
24/05/2022,Customer 1,2,30,5,B,d,Y,206,1,0.26867
09/05/2022,Customer 1,3,30,5,C,f,Z,211,3,0.17216
30/04/2022,Customer 1,1,31,6,A,a,X,1,0,0.00556
01/05/2022,Customer 1,1,32,7,B,c,Y,23,0,0.22297
06/01/2022,Customer 1,2,32,7,A,b,Z,88,1,0.05850
09/03/2022,Customer 1,1,33,8,C,e,Z,257,4,0.64287
04/05/2022,Customer 1,2,33,8,C,f,X,429,0,0.45560
21/04/2022,Customer 1,1,34,9,B,d,Y,357,4,0.17786
01/02/2022,Customer 1,1,35,10,A,b,Z,1,1,0.09030
26/02/2022,Customer 1,1,36,11,C,f,X,536,2,0.79392
07/04/2022,Customer 1,1,37,12,A,b,Y,18,0,0.07082
15/03/2022,Customer 1,2,37,12,C,f,Z,52,0,0.56242
28/04/2022,Customer 1,3,37,12,C,f,Z,393,4,0.56868
17/02/2022,Customer 1,1,38,13,B,d,Y,387,3,0.09913
15/01/2022,Customer 1,1,39,14,C,f,X,2,1,0.65115
21/01/2022,Customer 1,1,40,15,B,c,Y,305,3,0.01574
02/04/2022,Customer 1,1,41,16,B,d,Z,119,1,0.27752
28/02/2022,Customer 1,1,42,17,A,a,X,8,0,0.00522
17/02/2022,Customer 1,1,43,18,B,c,Y,109,0,0.02689
21/05/2022,Customer 1,2,43,18,C,e,X,14,4,0.24360
06/03/2022,Customer 1,1,44,19,A,a,X,39,0,0.03063
22/04/2022,Customer 1,2,44,19,C,f,X,6,3,0.04153
14/03/2022,Customer 1,1,45,20,C,e,Z,209,6,0.14724
22/05/2022,Customer 1,1,46,21,A,a,X,3,0,0.00759
11/04/2022,Customer 1,2,46,21,A,b,Y,71,0,0.13514
12/02/2022,Customer 1,3,46,21,A,b,Z,99,0,0.19310
24/05/2022,Customer 1,1,47,22,B,d,Y,1,0,0.27222
01/05/2022,Customer 1,2,47,22,C,e,Y,157,6,0.77665
21/03/2022,Customer 1,1,48,23,C,e,X,45,1,0.40606
19/01/2022,Customer 1,1,49,24,B,c,Z,90,1,0.14565
07/01/2022,Customer 1,1,50,25,A,a,Z,23,0,0.01685
04/02/2022,Customer 1,1,51,26,C,f,Z,38,2,0.05689
06/04/2022,Customer 1,2,51,26,A,a,Z,0,0,0.05396
16/01/2022,Customer 1,1,52,1,A,b,X,130,0,0.12984
10/05/2022,Customer 1,2,52,1,C,f,Y,69,1,0.85972
22/05/2022,Customer 1,1,53,2,B,d,Z,16,2,0.16437
04/05/2022,Customer 1,2,53,2,B,d,Z,116,3,0.36189
07/01/2022,Customer 1,1,54,3,A,b,X,37,0,0.01098
17/05/2022,Customer 1,2,54,3,A,b,X,9,1,0.16567
08/02/2022,Customer 1,1,55,4,C,f,Y,334,0,0.51174
15/02/2022,Customer 1,2,55,4,A,a,X,16,0,0.02690
22/03/2022,Customer 1,3,55,4,B,c,Y,0,4,0.23693
31/03/2022,Customer 1,1,56,5,B,c,X,52,0,0.00469
23/02/2022,Customer 1,2,56,5,A,b,Z,119,2,0.06590
29/01/2022,Customer 1,1,57,6,B,d,X,14,2,0.00284
25/04/2022,Customer 1,1,58,7,B,c,Y,184,1,0.24153
18/01/2022,Customer 1,1,59,8,A,a,Z,3,0,0.00338
08/04/2022,Customer 1,2,59,8,A,a,Y,20,0,0.01652
04/04/2022,Customer 1,1,60,9,C,f,X,1,1,0.34656
22/05/2022,Customer 1,1,61,10,A,b,X,73,0,0.15573
07/03/2022,Customer 1,2,61,10,C,e,Z,381,1,0.11804
03/04/2022,Customer 1,1,62,11,A,b,X,288,0,0.13624
13/03/2022,Customer 1,2,62,11,C,f,X,82,0,0.32928
01/01/2022,Customer 1,1,63,12,B,d,X,64,3,0.30683
01/04/2022,Customer 1,1,64,13,C,f,X,92,6,0.51318
08/01/2022,Customer 1,2,64,13,C,f,Z,135,0,0.06457
17/04/2022,Customer 1,3,64,13,B,d,Z,186,0,0.19049
02/03/2022,Customer 1,4,64,13,B,c,Z,364,1,0.43579
01/05/2022,Customer 1,1,65,14,C,f,X,629,0,0.16595
04/04/2022,Customer 1,2,65,14,A,a,Y,7,0,0.04659
23/02/2022,Customer 1,1,66,15,A,a,Y,1,0,0.07706
16/01/2022,Customer 1,2,66,15,A,b,Y,11,0,0.00420
11/03/2022,Customer 1,1,67,16,C,f,Y,24,0,0.07180
10/05/2022,Customer 1,2,67,16,B,c,X,52,1,0.37670
13/03/2022,Customer 1,1,68,17,C,f,X,37,4,0.64297
21/04/2022,Customer 1,1,69,18,C,f,Z,36,6,0.04453
15/02/2022,Customer 1,2,69,18,C,f,Y,265,4,0.73919
28/03/2022,Customer 1,3,69,18,A,b,X,80,1,0.03035
07/01/2022,Customer 1,4,69,18,C,e,Z,95,5,0.19678
02/05/2022,Customer 1,5,69,18,B,c,Z,178,0,0.20624
27/02/2022,Customer 1,6,69,18,C,f,Y,513,6,0.64651
03/03/2022,Customer 1,7,69,18,C,f,Z,231,1,0.71220
15/05/2022,Customer 1,1,70,19,C,e,Z,151,1,0.44082
06/03/2022,Customer 1,2,70,19,B,c,Z,159,0,0.15898
02/05/2022,Customer 1,1,71,20,C,f,Z,83,1,0.45066
02/05/2022,Customer 1,1,72,21,C,e,X,126,0,0.55320
29/03/2022,Customer 1,2,72,21,B,d,Z,411,1,0.15335
22/04/2022,Customer 1,1,73,22,A,a,Z,23,0,0.02797
05/04/2022,Customer 1,2,73,22,A,a,Z,5,0,0.01386
20/03/2022,Customer 1,1,74,23,B,d,Z,57,0,0.42973
13/02/2022,Customer 1,1,75,24,B,d,Z,65,2,0.01005
06/01/2022,Customer 1,1,76,25,B,c,Z,147,1,0.12675
28/02/2022,Customer 1,2,76,25,A,b,X,50,0,0.14660
16/03/2022,Customer 1,1,77,26,B,d,X,186,0,0.10193
26/02/2022,Customer 1,2,77,26,C,e,X,377,3,0.63423
28/02/2022,Customer 1,3,77,26,C,f,X,642,2,0.12766
12/01/2022,Customer 1,4,77,26,C,f,Y,171,7,0.39221
18/02/2022,Customer 1,5,77,26,B,d,Z,19,2,0.31602
28/03/2022,Customer 1,6,77,26,B,c,X,250,3,0.09836
30/01/2022,Customer 1,7,77,26,A,a,Z,3,0,0.03739
01/04/2022,Customer 1,1,78,1,C,e,Z,454,0,0.00633
21/03/2022,Customer 1,1,79,2,A,b,X,4,1,0.19808
06/02/2022,Customer 1,2,79,2,A,a,Y,15,1,0.03868
26/05/2022,Customer 1,3,79,2,B,c,X,27,0,0.18767
19/03/2022,Customer 1,4,79,2,C,f,Z,47,1,0.05758
31/01/2022,Customer 1,1,80,3,C,e,X,5,3,0.59067
27/01/2022,Customer 1,2,80,3,B,c,Z,162,0,0.23104
02/02/2022,Customer 1,1,81,4,C,f,Z,166,1,0.07601
29/04/2022,Customer 1,2,81,4,B,d,X,237,1,0.40737
03/03/2022,Customer 1,3,81,4,B,d,X,66,0,0.19442
20/01/2022,Customer 1,1,82,5,A,a,Z,17,0,0.00149
18/05/2022,Customer 1,2,82,5,A,b,Y,76,0,0.11968
04/04/2022,Customer 1,3,82,5,A,b,Z,12,1,0.00038
27/02/2022,Customer 1,1,83,6,B,c,X,50,1,0.06729
08/02/2022,Customer 1,1,84,7,B,c,Z,26,1,0.13181
29/12/2021,Customer 1,2,84,7,C,e,Y,226,2,0.60646
30/03/2022,Customer 1,1,85,8,A,a,X,0,0,0.00503
25/03/2022,Customer 1,1,86,9,C,e,Z,142,4,0.10782
30/12/2021,Customer 1,1,87,10,C,e,Y,2,4,0.03519
15/01/2022,Customer 1,1,88,11,C,e,Y,179,1,0.67325
13/02/2022,Customer 1,2,88,11,B,d,Z,96,0,0.50496
03/05/2022,Customer 1,1,89,12,B,d,Z,124,3,0.32902
27/03/2022,Customer 1,1,90,13,B,c,Z,8,0,0.25876
15/02/2022,Customer 1,1,91,14,C,e,Z,551,1,0.07528
27/01/2022,Customer 1,1,92,15,B,c,Y,5,3,0.16225
21/03/2022,Customer 1,2,92,15,B,d,X,34,3,0.56152
16/02/2022,Customer 1,1,93,16,C,e,X,11,0,0.31858
24/01/2022,Customer 1,2,93,16,A,b,X,172,2,0.31345
26/03/2022,Customer 1,3,93,16,A,b,X,9,1,0.03066
08/01/2022,Customer 1,4,93,16,A,b,X,99,2,0.00590
07/04/2022,Customer 1,1,94,17,B,c,Y,75,0,0.19200
17/02/2022,Customer 1,2,94,17,C,f,X,271,5,0.17268
05/02/2022,Customer 1,3,94,17,B,d,Z,22,1,0.00026
27/01/2022,Customer 1,4,94,17,A,b,Z,20,1,0.01730
02/04/2022,Customer 1,5,94,17,C,e,X,183,4,0.48575
21/01/2022,Customer 1,6,94,17,A,a,Y,1,0,0.00300
18/01/2022,Customer 1,1,95,18,A,b,X,58,1,0.21568
18/03/2022,Customer 1,1,96,19,A,a,Y,7,0,0.01904
11/05/2022,Customer 1,1,97,20,A,b,Y,79,1,0.07287
06/05/2022,Customer 1,1,98,21,C,e,Y,26,1,0.02440
26/04/2022,Customer 1,1,99,22,B,d,X,46,3,0.39357
31/03/2022,Customer 1,1,100,23,C,f,Y,688,2,0.79731
14/02/2022,Customer 1,2,100,23,C,e,Z,98,0,0.40176
22/05/2022,Customer 1,3,100,23,A,a,Z,15,0,0.01242
08/05/2022,Customer 1,4,100,23,A,a,Y,3,0,0.01280
14/02/2022,Customer 1,5,100,23,C,e,X,373,4,0.36268
09/02/2022,Customer 1,1,101,24,B,c,X,35,0,0.28764
21/03/2022,Customer 1,1,102,25,B,c,Z,71,1,0.29362
06/03/2022,Customer 1,1,103,26,B,c,Z,12,4,0.00868
03/05/2022,Customer 1,1,104,1,B,c,Z,1,2,0.09599
23/03/2022,Customer 1,2,104,1,B,d,X,417,3,0.53920
28/03/2022,Customer 1,3,104,1,C,e,Z,396,4,0.35148
18/04/2022,Customer 1,1,105,2,B,c,Y,1,1,0.14845
10/03/2022,Customer 1,2,105,2,B,d,Z,35,0,0.54603
04/05/2022,Customer 1,1,106,3,B,d,Y,441,1,0.06502
13/04/2022,Customer 1,1,107,4,A,a,X,56,0,0.01184
29/03/2022,Customer 1,2,107,4,B,c,Z,108,4,0.19017
22/01/2022,Customer 1,3,107,4,A,a,Z,30,0,0.07393
23/02/2022,Customer 1,1,108,5,C,e,Y,33,2,0.32224
23/01/2022,Customer 1,2,108,5,C,f,Z,549,2,0.91687
24/04/2022,Customer 1,1,109,6,A,b,Z,33,0,0.20235
23/02/2022,Customer 1,1,110,7,A,b,X,93,0,0.05975
04/01/2022,Customer 1,1,111,8,A,a,X,27,0,0.00857
01/03/2022,Customer 1,1,112,9,B,d,Y,278,1,0.06645
09/02/2022,Customer 1,2,112,9,B,d,Y,121,0,0.40961
06/03/2022,Customer 1,1,113,10,B,d,Z,141,1,0.04673
28/04/2022,Customer 1,1,114,11,A,b,X,7,0,0.02411
28/12/2021,Customer 1,1,115,12,A,b,X,93,0,0.00313
17/04/2022,Customer 1,1,116,13,C,f,X,224,2,0.42005
19/02/2022,Customer 1,1,117,14,B,d,Z,223,0,0.27050
20/03/2022,Customer 1,1,118,15,B,c,Z,149,3,0.16351
12/05/2022,Customer 1,2,118,15,A,b,Z,1,0,0.18218
16/04/2022,Customer 1,1,119,16,B,d,X,181,1,0.08098
07/04/2022,Customer 1,1,120,17,B,c,X,53,1,0.44797
01/03/2022,Customer 1,2,120,17,A,b,X,26,0,0.05256
14/03/2022,Customer 1,1,121,18,B,d,X,88,0,0.00784
16/04/2022,Customer 1,2,121,18,B,d,Z,153,0,0.21686
25/01/2022,Customer 1,1,122,19,C,e,Y,25,1,0.50362
30/03/2022,Customer 1,1,123,20,A,a,Y,11,1,0.00210
28/03/2022,Customer 1,2,123,20,C,e,Z,390,1,0.10270
28/02/2022,Customer 1,3,123,20,A,b,Z,9,2,0.23048
25/03/2022,Customer 1,1,124,21,B,d,Y,311,1,0.00771
03/03/2022,Customer 1,1,125,22,C,e,X,453,1,0.09677
15/03/2022,Customer 1,2,125,22,B,d,Z,581,2,0.30001
18/02/2022,Customer 1,3,125,22,B,c,X,167,2,0.20225
03/04/2022,Customer 1,1,126,23,B,d,Y,13,3,0.07883
04/02/2022,Customer 1,1,127,24,A,b,Z,55,1,0.15465
06/01/2022,Customer 1,2,127,24,A,b,X,163,1,0.07720
01/04/2022,Customer 1,1,128,25,C,f,X,146,3,0.14755
13/02/2022,Customer 1,2,128,25,B,d,Z,11,3,0.17303
17/03/2022,Customer 1,3,128,25,B,d,X,342,0,0.30935
03/05/2022,Customer 1,4,128,25,C,e,Z,191,1,0.13631
11/05/2022,Customer 1,1,129,26,B,d,Y,151,1,0.60017
01/05/2022,Customer 1,2,129,26,A,a,Z,27,0,0.05709
26/05/2022,Customer 1,3,129,26,C,e,X,121,1,0.60998
15/03/2022,Customer 1,1,130,1,A,a,Y,31,0,0.12490
17/02/2022,Customer 1,2,130,1,B,c,Z,107,1,0.32112
15/01/2022,Customer 1,1,131,2,A,a,Y,56,0,0.08883
10/01/2022,Customer 1,2,131,2,C,e,Y,55,5,0.18254
06/04/2022,Customer 1,1,132,3,B,c,Z,57,1,0.17216
18/02/2022,Customer 1,1,133,4,B,c,Z,234,2,0.39867
06/04/2022,Customer 1,2,133,4,B,c,X,221,0,0.29711
12/01/2022,Customer 1,3,133,4,A,a,X,13,0,0.03510
27/03/2022,Customer 1,1,134,5,C,f,X,349,0,0.40370
21/04/2022,Customer 1,2,134,5,B,c,Z,39,0,0.09243
06/05/2022,Customer 1,3,134,5,B,c,Y,43,0,0.38586
26/01/2022,Customer 1,4,134,5,B,d,X,370,1,0.48249
01/02/2022,Customer 1,1,135,6,C,e,Z,186,1,0.25208
02/05/2022,Customer 1,1,136,7,C,f,Z,33,5,0.64487
22/02/2022,Customer 1,2,136,7,B,d,Y,540,1,0.50341
08/04/2022,Customer 1,3,136,7,C,f,Z,492,3,0.62602
23/02/2022,Customer 1,4,136,7,B,d,X,393,3,0.09665
18/01/2022,Customer 1,5,136,7,B,d,Z,321,2,0.08645
22/03/2022,Customer 1,6,136,7,A,b,X,75,0,0.11622
17/05/2022,Customer 1,7,136,7,C,f,Z,89,2,0.06003
04/04/2022,Customer 1,1,137,8,B,d,Y,2,2,0.39956
16/03/2022,Customer 1,2,137,8,C,f,Z,776,0,0.56948
16/01/2022,Customer 1,3,137,8,A,b,X,127,0,0.09177
21/04/2022,Customer 1,1,138,9,A,b,X,55,0,0.01084
06/01/2022,Customer 1,1,139,10,B,c,X,161,1,0.02161
28/04/2022,Customer 1,2,139,10,C,f,Z,79,1,0.34144
17/03/2022,Customer 1,1,140,11,A,a,Y,15,0,0.01745
19/03/2022,Customer 1,1,141,12,B,d,Y,120,1,0.04537
07/02/2022,Customer 1,1,142,13,C,e,X,327,2,0.30180
10/02/2022,Customer 1,2,142,13,C,e,X,112,2,0.40176
17/03/2022,Customer 1,1,143,14,C,e,X,69,1,0.39198
18/04/2022,Customer 1,2,143,14,C,e,Z,268,1,0.19141
31/12/2021,Customer 1,3,143,14,C,e,Y,250,1,0.21935
25/05/2022,Customer 1,4,143,14,B,c,Z,84,1,0.20963
24/04/2022,Customer 1,5,143,14,C,f,Y,470,1,0.83205
04/04/2022,Customer 1,6,143,14,A,a,Z,29,0,0.06608
27/04/2022,Customer 1,1,144,15,A,a,X,18,1,0.02287
10/02/2022,Customer 1,1,145,16,A,b,Z,211,0,0.25343
05/01/2022,Customer 1,1,146,17,C,f,Y,795,1,0.49644
24/03/2022,Customer 1,1,147,18,C,e,Z,33,1,0.62798
21/05/2022,Customer 1,1,148,19,B,d,Y,113,4,0.38242
12/04/2022,Customer 1,1,149,20,C,e,X,156,1,0.39599
28/01/2022,Customer 1,2,149,20,C,e,Y,436,5,0.62870
04/05/2022,Customer 1,1,150,21,C,f,X,117,0,0.80548
21/02/2022,Customer 1,1,151,22,A,b,Z,59,0,0.13295
16/04/2022,Customer 1,2,151,22,A,a,Z,32,0,0.03491
17/04/2022,Customer 1,1,152,23,C,f,Z,368,1,0.59489
09/01/2022,Customer 1,1,153,24,B,d,Y,57,1,0.52014
08/01/2022,Customer 1,1,154,25,C,e,Y,285,3,0.12358
24/01/2022,Customer 1,2,154,25,C,e,Y,111,2,0.14463
21/05/2022,Customer 1,3,154,25,B,c,X,265,2,0.08633
14/03/2022,Customer 1,4,154,25,C,f,Y,138,4,0.01559
29/12/2021,Customer 1,5,154,25,B,c,X,16,0,0.30469
11/01/2022,Customer 1,6,154,25,A,b,Y,2,0,0.02850
11/02/2022,Customer 1,7,154,25,A,a,Z,4,0,0.07838
06/02/2022,Customer 1,1,155,26,B,d,Y,25,0,0.62640
20/02/2022,Customer 1,2,155,26,C,e,Z,113,1,0.28725
16/05/2022,Customer 1,3,155,26,C,e,Z,35,2,0.32832
29/12/2021,Customer 1,4,155,26,C,f,Y,61,2,0.26615
06/05/2022,Customer 1,5,155,26,B,d,Z,177,1,0.41514
22/02/2022,Customer 1,1,156,1,C,e,Z,207,4,0.75850
21/04/2022,Customer 1,1,157,2,C,e,Z,241,4,0.47909
12/01/2022,Customer 1,1,158,3,C,e,X,397,1,0.46871
08/01/2022,Customer 1,2,158,3,C,f,X,425,0,0.52799
07/04/2022,Customer 1,3,158,3,C,f,Y,345,3,0.33549
13/01/2022,Customer 1,4,158,3,C,f,X,614,4,0.82973
06/03/2022,Customer 1,1,159,4,B,d,Y,231,5,0.50301
21/02/2022,Customer 1,2,159,4,C,f,Z,383,2,0.48524
27/04/2022,Customer 1,3,159,4,B,d,X,27,1,0.33680
19/02/2022,Customer 1,1,160,5,A,a,Y,2,0,0.02568
23/02/2022,Customer 1,1,161,6,A,b,Y,32,1,0.14862
23/02/2022,Customer 1,1,162,7,C,f,X,343,7,0.30906
23/02/2022,Customer 1,1,163,8,B,c,X,126,1,0.09504
25/05/2022,Customer 1,1,164,9,A,b,Y,56,0,0.25176
29/12/2021,Customer 1,2,164,9,C,e,Y,350,5,0.17382
30/12/2021,Customer 1,3,164,9,B,d,Z,118,4,0.08811
03/01/2022,Customer 1,1,165,10,C,e,Y,262,0,0.04990
06/03/2022,Customer 1,1,166,11,B,c,Z,22,0,0.07767
05/03/2022,Customer 1,1,167,12,C,e,Z,81,1,0.06144
19/02/2022,Customer 1,1,168,13,C,f,Z,5,0,0.74951
23/03/2022,Customer 1,2,168,13,B,d,X,100,3,0.12244
21/04/2022,Customer 1,3,168,13,C,f,Z,262,6,0.74654
01/05/2022,Customer 1,4,168,13,C,f,X,612,6,0.04351
14/05/2022,Customer 1,1,169,14,B,c,X,318,2,0.10477
13/02/2022,Customer 1,1,170,15,C,e,Z,19,4,0.25791
15/04/2022,Customer 1,2,170,15,C,e,X,2,4,0.54423
30/01/2022,Customer 1,1,171,16,B,d,X,310,1,0.11546
26/05/2022,Customer 1,1,172,17,C,f,Y,0,1,0.79716
25/03/2022,Customer 1,2,172,17,A,a,Z,0,0,0.03268
18/04/2022,Customer 1,3,172,17,B,c,Y,169,3,0.48605
18/05/2022,Customer 1,1,173,18,B,c,Y,93,0,0.06689
03/05/2022,Customer 1,2,173,18,C,f,X,414,1,0.70725
17/05/2022,Customer 1,1,174,19,A,b,X,146,0,0.07133
06/05/2022,Customer 1,1,175,20,A,a,Z,3,0,0.00623
06/04/2022,Customer 1,1,176,21,A,b,Z,68,0,0.15567
03/04/2022,Customer 1,1,177,22,C,f,Y,30,0,0.39912
05/04/2022,Customer 1,2,177,22,B,d,Y,429,1,0.44684
21/03/2022,Customer 1,3,177,22,A,a,Y,0,0,0.00851
17/05/2022,Customer 1,1,178,23,C,f,Y,446,6,0.53771
19/01/2022,Customer 1,2,178,23,A,b,X,166,1,0.12809
02/03/2022,Customer 1,1,179,24,C,f,X,215,4,0.47990
09/02/2022,Customer 1,1,180,25,B,c,X,138,1,0.33896
06/03/2022,Customer 1,2,180,25,C,e,Z,183,4,0.01563
09/04/2022,Customer 1,3,180,25,A,b,Y,2,0,0.11392
27/01/2022,Customer 1,1,181,26,C,e,Z,24,2,0.60433
10/02/2022,Customer 1,1,182,1,B,c,X,0,3,0.06747
20/05/2022,Customer 1,2,182,1,C,f,Y,153,2,0.29404
12/01/2022,Customer 1,1,183,2,A,a,Y,28,0,0.11226
20/05/2022,Customer 1,1,184,3,A,b,Z,40,0,0.12937
21/04/2022,Customer 1,1,185,4,A,a,Y,23,1,0.04566
17/05/2022,Customer 1,2,185,4,B,c,Z,94,0,0.29336
07/03/2022,Customer 1,1,186,5,B,c,Y,108,0,0.28087
17/03/2022,Customer 1,1,187,6,B,d,Z,170,1,0.21311
10/03/2022,Customer 1,2,187,6,B,c,Z,117,0,0.28796
09/05/2022,Customer 1,3,187,6,A,a,X,94,0,0.13145
28/03/2022,Customer 1,4,187,6,A,a,X,20,0,0.12595
25/05/2022,Customer 1,5,187,6,B,c,Y,98,0,0.22649
04/04/2022,Customer 1,1,188,7,A,a,Y,9,0,0.01115
26/02/2022,Customer 1,2,188,7,A,a,Y,1,0,0.00928
12/01/2022,Customer 1,3,188,7,C,e,X,44,3,0.49002
11/04/2022,Customer 1,1,189,8,C,e,X,659,2,0.06057
20/04/2022,Customer 1,2,189,8,B,c,X,5,0,0.26233
07/02/2022,Customer 1,3,189,8,C,f,Y,22,0,0.82513
19/04/2022,Customer 1,4,189,8,B,c,Z,101,2,0.28643
09/01/2022,Customer 1,1,190,9,A,b,Z,149,0,0.00357
03/02/2022,Customer 1,1,191,10,B,d,X,90,1,0.00471
20/01/2022,Customer 1,1,192,11,A,b,X,57,1,0.21098
28/04/2022,Customer 1,1,193,12,A,b,Z,10,0,0.09220
06/04/2022,Customer 1,2,193,12,C,e,Y,209,2,0.32690
28/02/2022,Customer 1,1,194,13,B,d,Y,101,0,0.36898
14/05/2022,Customer 1,1,195,14,B,c,Y,110,1,0.12381
09/02/2022,Customer 1,2,195,14,C,e,X,209,4,0.26179
07/02/2022,Customer 1,1,196,15,B,d,Z,19,1,0.46254
07/02/2022,Customer 1,1,197,16,A,b,X,75,2,0.02939
06/02/2022,Customer 1,2,197,16,A,a,Z,34,0,0.11070
05/05/2022,Customer 1,1,198,17,A,b,X,96,0,0.23095
27/04/2022,Customer 1,1,199,18,B,c,X,59,0,0.16041
21/05/2022,Customer 1,2,199,18,C,e,Y,35,4,0.72346
10/02/2022,Customer 1,3,199,18,B,d,Z,3,0,0.09333
05/02/2022,Customer 1,4,199,18,C,e,Y,643,0,0.42018
21/05/2022,Customer 1,1,200,19,A,b,X,131,1,0.08276
24/05/2022,Customer 1,2,200,19,B,d,Z,6,2,0.38587
04/03/2022,Customer 1,3,200,19,C,f,Z,5,1,0.04198
17/02/2022,Customer 1,1,201,20,B,d,Z,266,2,0.45359
04/01/2022,Customer 1,2,201,20,C,f,Z,295,2,0.76832
28/03/2022,Customer 1,3,201,20,C,f,X,622,5,0.17402
16/01/2022,Customer 1,1,202,21,B,d,Z,9,1,0.35242
27/02/2022,Customer 1,2,202,21,C,f,Y,15,0,0.89583
05/02/2022,Customer 1,1,203,22,A,b,X,103,1,0.26489
06/03/2022,Customer 1,1,204,23,C,f,X,18,3,0.56729
21/03/2022,Customer 1,1,205,24,B,d,X,24,2,0.06818
26/04/2022,Customer 1,1,206,25,A,b,X,14,0,0.13599
15/03/2022,Customer 1,2,206,25,A,b,Z,42,1,0.08667
19/01/2022,Customer 1,3,206,25,B,d,X,11,4,0.21218
02/03/2022,Customer 1,4,206,25,A,a,Y,51,0,0.05120
21/03/2022,Customer 1,1,207,26,C,e,Z,502,2,0.61838
01/04/2022,Customer 1,1,208,1,B,d,Z,118,0,0.11142
