BasketItem,Basket Produce Line,Basket Product Group Desc,Basket Product Line Desc,Basket Product Sub Group Desc,Basket Product Type Desc,Basket Item Desc
CR-10384,1,Deli,Drink,Deli Meats,Meat,Moms Sliced Turkey
CR-10576,1,Starchy Foods,Food,Rice,Starchy Foods,Shady Lake Rice Medly
CR-10576,1,Starchy Foods,Drink,Rice,Starchy Foods,Shady Lake Rice Medly
CR-10948,2,Beverages,Food,Juice,Pure Juice Beverages,Fabulous Apple Juice
CR-10948,2,Beverages,Drink,Juice,Pure Juice Beverages,Fabulous Apple Juice
CR-10554,1,Snack Foods,Food,Dried Fruit,Snack Foods,Fast Dried Apples
CR-10554,1,Snack Foods,Drink,Dried Fruit,Snack Foods,Fast Dried Apples
CR-10521,1,Produce,Food,Fresh Fruit,Fruit,Tell Tale Fuji Apples
CR-10521,1,Produce,Drink,Fresh Fruit,Fruit,Tell Tale Fuji Apples
CR-10889,1,Starchy Foods,Food,Pasta,Starchy Foods,Discover Manicotti
CR-10889,1,Starchy Foods,Drink,Pasta,Starchy Foods,Discover Manicotti
CR-10184,1,Produce,Food,Fresh Vegetables,Vegetables,High Top Garlic
CR-10184,1,Produce,Drink,Fresh Vegetables,Vegetables,High Top Garlic
CR-10218,1,Snack Foods,Food,Chips,Snack Foods,Best Choice BBQ Potato Chips
CR-10218,1,Snack Foods,Drink,Chips,Snack Foods,Best Choice BBQ Potato Chips
CR-10570,1,Snacks,Food,Hard Candy,Candy,Atomic Mints
CR-10570,1,Snacks,Drink,Hard Candy,Candy,Atomic Mints
CR-10813,1,Produce,Food,Fresh Vegetables,Vegetables,Ebony Fresh Lima Beans
CR-10813,1,Produce,Drink,Fresh Vegetables,Vegetables,Ebony Fresh Lima Beans
CR-10504,1,Produce,Food,Fresh Fruit,Fruit,Tell Tale Limes
CR-10504,1,Produce,Drink,Fresh Fruit,Fruit,Tell Tale Limes
CR-10197,1,Produce,Food,Fresh Fruit,Fruit,High Top Golden Delcious Apples
CR-10197,1,Produce,Drink,Fresh Fruit,Fruit,High Top Golden Delcious Apples
CR-10850,1,Snack Foods,Food,Crackers,Snack Foods,Nationeel Cheese Crackers
CR-10850,1,Snack Foods,Drink,Crackers,Snack Foods,Nationeel Cheese Crackers
CR-10633,2,Beverages,Food,Flavored Drinks,Drinks,Token Apple Drink
CR-10633,2,Beverages,Drink,Flavored Drinks,Drinks,Token Apple Drink
CR-10252,1,Snack Foods,Food,Donuts,Snack Foods,Best Choice Frosted Donuts
CR-10252,1,Snack Foods,Drink,Donuts,Snack Foods,Best Choice Frosted Donuts
CR-10949,2,Beverages,Food,Flavored Drinks,Drinks,Fabulous Apple Drink
CR-10949,2,Beverages,Drink,Flavored Drinks,Drinks,Fabulous Apple Drink
CR-10530,1,Snack Foods,Food,Chips,Snack Foods,Fast Corn Chips
CR-10530,1,Snack Foods,Drink,Chips,Snack Foods,Fast Corn Chips
CR-10187,1,Produce,Food,Fresh Vegetables,Vegetables,High Top Tomatos
CR-10187,1,Produce,Drink,Fresh Vegetables,Vegetables,High Top Tomatos
CR-10250,1,Snack Foods,Food,Dried Fruit,Snack Foods,Best Choice Golden Raisins
CR-10250,1,Snack Foods,Drink,Dried Fruit,Snack Foods,Best Choice Golden Raisins
CR-10912,2,Beverages,Food,Chocolate,Hot Beverages,BBB Best Hot Chocolate
CR-10912,2,Beverages,Drink,Chocolate,Hot Beverages,BBB Best Hot Chocolate
CR-10388,1,Eggs,Food,Eggs,Eggs,Urban Small Brown Eggs
CR-10388,1,Eggs,Drink,Eggs,Eggs,Urban Small Brown Eggs
CR-10413,1,Frozen Foods,Food,Popsicles,Frozen Desserts,Big Time Lime Popsicles
CR-10413,1,Frozen Foods,Drink,Popsicles,Frozen Desserts,Big Time Lime Popsicles
CR-10390,1,Eggs,Food,Eggs,Eggs,Urban Small Eggs
CR-10390,1,Eggs,Drink,Eggs,Eggs,Urban Small Eggs
CR-10567,1,Snacks,Food,Chocolate Candy,Candy,Atomic Semi-Sweet Chocolate Bar
CR-10567,1,Snacks,Drink,Chocolate Candy,Candy,Atomic Semi-Sweet Chocolate Bar
CR-10288,2,Beverages,Food,Coffee,Hot Beverages,Super French Roast Coffee
CR-10288,2,Beverages,Drink,Coffee,Hot Beverages,Super French Roast Coffee
CR-10828,1,Produce,Food,Nuts,Specialty,Ebony Canned Peanuts
CR-10828,1,Produce,Drink,Nuts,Specialty,Ebony Canned Peanuts
CR-10568,1,Snacks,Food,Gum,Candy,Atomic Bubble Gum
CR-10568,1,Snacks,Drink,Gum,Candy,Atomic Bubble Gum
CR-10391,1,Eggs,Food,Eggs,Eggs,Urban Large Eggs
CR-10391,1,Eggs,Drink,Eggs,Eggs,Urban Large Eggs
CR-10508,1,Produce,Food,Fresh Fruit,Fruit,Tell Tale Golden Delcious Apples
CR-10508,1,Produce,Drink,Fresh Fruit,Fruit,Tell Tale Golden Delcious Apples
CR-10577,2,Alcoholic Beverages,Food,Beer,Beer and Wine,Walrus Imported Beer
CR-10577,2,Alcoholic Beverages,Drink,Beer,Beer and Wine,Walrus Imported Beer
CR-10251,1,Snack Foods,Food,Dried Fruit,Snack Foods,Best Choice Dried Apricots
CR-10251,1,Snack Foods,Drink,Dried Fruit,Snack Foods,Best Choice Dried Apricots
CR-10869,1,Snack Foods,Food,Dried Fruit,Snack Foods,Nationeel Grape Fruit Roll
CR-10869,1,Snack Foods,Drink,Dried Fruit,Snack Foods,Nationeel Grape Fruit Roll
CR-10901,1,Baked Goods,Food,Sliced Bread,Bread,Fantastic Pumpernickel Bread
CR-10901,1,Baked Goods,Drink,Sliced Bread,Bread,Fantastic Pumpernickel Bread
CR-10259,1,Snacks,Food,Hard Candy,Candy,Choice Mints
CR-10259,1,Snacks,Drink,Hard Candy,Candy,Choice Mints
CR-10670,1,Dairy,Food,Cheese,Dairy,Gorilla String Cheese
CR-10670,1,Dairy,Drink,Cheese,Dairy,Gorilla String Cheese
CR-10914,1,Baking Goods,Food,Sugar,Baking Goods,BBB Best White Sugar
CR-10914,1,Baking Goods,Drink,Sugar,Baking Goods,BBB Best White Sugar
CR-10964,1,Canned Foods,Food,Soup,Canned Soup,Just Right Turkey Noodle Soup
CR-10964,1,Canned Foods,Drink,Soup,Canned Soup,Just Right Turkey Noodle Soup
CR-10102,1,Frozen Foods,Food,Popsicles,Frozen Desserts,Golden Lime Popsicles
CR-10102,1,Frozen Foods,Drink,Popsicles,Frozen Desserts,Golden Lime Popsicles
CR-10091,1,Frozen Foods,Food,Pizza,Pizza,Golden Frozen Pepperoni Pizza
CR-10091,1,Frozen Foods,Drink,Pizza,Pizza,Golden Frozen Pepperoni Pizza
CR-10044,1,Dairy,Food,Sour Cream,Dairy,Club Low Fat Sour Cream
CR-10044,1,Dairy,Drink,Sour Cream,Dairy,Club Low Fat Sour Cream
CR-10415,1,Frozen Foods,Food,Ice Cream,Frozen Desserts,Big Time Ice Cream Sandwich
CR-10415,1,Frozen Foods,Drink,Ice Cream,Frozen Desserts,Big Time Ice Cream Sandwich
CR-10423,1,Frozen Foods,Food,Popsicles,Frozen Desserts,Big Time Lemon Popsicles
CR-10423,1,Frozen Foods,Drink,Popsicles,Frozen Desserts,Big Time Lemon Popsicles
CR-10611,1,Baking Goods,Food,Spices,Baking Goods,Landslide Salt
CR-10611,1,Baking Goods,Drink,Spices,Baking Goods,Landslide Salt
CR-10944,2,Beverages,Food,Soda,Carbonated Beverages,Fabulous Cola
CR-10944,2,Beverages,Drink,Soda,Carbonated Beverages,Fabulous Cola
CR-11000,1,Dairy,Food,Yogurt,Dairy,Even Better Blueberry Yogurt
CR-11000,1,Dairy,Drink,Yogurt,Dairy,Even Better Blueberry Yogurt
CR-10206,1,Produce,Food,Nuts,Specialty,High Top Canned Peanuts
CR-10206,1,Produce,Drink,Nuts,Specialty,High Top Canned Peanuts
CR-10697,1,Deli,Food,Deli Salads,Side Dishes,Cutting Edge Potato Salad
CR-10697,1,Deli,Drink,Deli Salads,Side Dishes,Cutting Edge Potato Salad
CR-10086,1,Frozen Foods,Food,French Fries,Vegetables,Golden Low Fat French Fries
CR-10086,1,Frozen Foods,Drink,French Fries,Vegetables,Golden Low Fat French Fries
CR-10671,1,Dairy,Food,Cheese,Dairy,Gorilla Low Fat String Cheese
CR-10671,1,Dairy,Drink,Cheese,Dairy,Gorilla Low Fat String Cheese
CR-10506,1,Produce,Food,Nuts,Specialty,Tell Tale Almonds
CR-10506,1,Produce,Drink,Nuts,Specialty,Tell Tale Almonds
CR-10399,1,Frozen Foods,Food,Waffles,Breakfast Foods,Big Time Blueberry Waffles
CR-10399,1,Frozen Foods,Drink,Waffles,Breakfast Foods,Big Time Blueberry Waffles
CR-10196,1,Produce,Food,Fresh Fruit,Fruit,High Top Macintosh Apples
CR-10196,1,Produce,Drink,Fresh Fruit,Fruit,High Top Macintosh Apples
CR-10290,2,Beverages,Food,Coffee,Hot Beverages,Super Regular Coffee
CR-10290,2,Beverages,Drink,Coffee,Hot Beverages,Super Regular Coffee
CR-10796,1,Produce,Food,Fresh Vegetables,Vegetables,Ebony Sweet Peas
CR-10796,1,Produce,Drink,Fresh Vegetables,Vegetables,Ebony Sweet Peas
CR-10919,1,Baking Goods,Food,Cooking Oil,Baking Goods,BBB Best Corn Oil
CR-10919,1,Baking Goods,Drink,Cooking Oil,Baking Goods,BBB Best Corn Oil
CR-10254,1,Snacks,Food,Chocolate Candy,Candy,Choice Mint Chocolate Bar
CR-10254,1,Snacks,Drink,Chocolate Candy,Candy,Choice Mint Chocolate Bar
CR-10038,1,Canned Products,Food,Canned Fruit,Fruit,Green Ribbon Canned Mixed Fruit
CR-10038,1,Canned Products,Drink,Canned Fruit,Fruit,Green Ribbon Canned Mixed Fruit
CR-10820,1,Produce,Food,Fresh Fruit,Fruit,Ebony Red Delcious Apples
CR-10820,1,Produce,Drink,Fresh Fruit,Fruit,Ebony Red Delcious Apples
CR-10327,1,Canned Foods,Food,Canned Vegetables,Vegetables,Better Canned Beets
CR-10327,1,Canned Foods,Drink,Canned Vegetables,Vegetables,Better Canned Beets
CR-10407,1,Frozen Foods,Food,TV Dinner,Frozen Entrees,Big Time Turkey TV Dinner
CR-10407,1,Frozen Foods,Drink,TV Dinner,Frozen Entrees,Big Time Turkey TV Dinner
CR-10171,1,Produce,Food,Fresh Vegetables,Vegetables,High Top Summer Squash
CR-10171,1,Produce,Drink,Fresh Vegetables,Vegetables,High Top Summer Squash
CR-10522,1,Produce,Food,Nuts,Specialty,Tell Tale Walnuts
CR-10522,1,Produce,Drink,Nuts,Specialty,Tell Tale Walnuts
CR-10933,1,Baking Goods,Food,Jam,Jams and Jellies,BBB Best Strawberry Jam
CR-10933,1,Baking Goods,Drink,Jam,Jams and Jellies,BBB Best Strawberry Jam
CR-10883,1,Starchy Foods,Food,Pasta,Starchy Foods,Monarch Ravioli
CR-10883,1,Starchy Foods,Drink,Pasta,Starchy Foods,Monarch Ravioli
CR-10876,1,Snacks,Food,Chocolate Candy,Candy,Thresher Mint Chocolate Bar
CR-10876,1,Snacks,Drink,Chocolate Candy,Candy,Thresher Mint Chocolate Bar
CR-10856,1,Snack Foods,Food,Pretzels,Snack Foods,Nationeel Salted Pretzels
CR-10856,1,Snack Foods,Drink,Pretzels,Snack Foods,Nationeel Salted Pretzels
CR-10315,2,Beverages,Food,Soda,Carbonated Beverages,Excellent Cream Soda
CR-10315,2,Beverages,Drink,Soda,Carbonated Beverages,Excellent Cream Soda
CR-10532,1,Snack Foods,Food,Cookies,Snack Foods,Fast Sugar Cookies
CR-10532,1,Snack Foods,Drink,Cookies,Snack Foods,Fast Sugar Cookies
CR-10832,1,Produce,Food,Fresh Fruit,Fruit,Ebony Fuji Apples
CR-10832,1,Produce,Drink,Fresh Fruit,Fruit,Ebony Fuji Apples
CR-10037,1,Canned Foods,Food,Soup,Canned Soup,Blue Label Rice Soup
CR-10037,1,Canned Foods,Drink,Soup,Canned Soup,Blue Label Rice Soup
CR-10204,1,Produce,Food,Fresh Fruit,Fruit,High Top Mandarin Oranges
CR-10204,1,Produce,Drink,Fresh Fruit,Fruit,High Top Mandarin Oranges
CR-10891,1,Starchy Foods,Food,Rice,Starchy Foods,Discover Thai Rice
CR-10891,1,Starchy Foods,Drink,Rice,Starchy Foods,Discover Thai Rice
CR-10569,1,Snacks,Food,Hard Candy,Candy,Atomic Spicy Mints
CR-10569,1,Snacks,Drink,Hard Candy,Candy,Atomic Spicy Mints
CR-10683,1,Dairy,Food,Yogurt,Dairy,Gorilla Strawberry Yogurt
CR-10683,1,Dairy,Drink,Yogurt,Dairy,Gorilla Strawberry Yogurt
CR-10649,1,Canned Foods,Food,Soup,Canned Soup,Bravo Beef Soup
CR-10649,1,Canned Foods,Drink,Soup,Canned Soup,Bravo Beef Soup
CR-10986,1,Dairy,Food,Cheese,Dairy,Even Better String Cheese
CR-10986,1,Dairy,Drink,Cheese,Dairy,Even Better String Cheese
CR-10078,1,Eggs,Food,Eggs,Eggs,Blue Medal Large Brown Eggs
CR-10078,1,Eggs,Drink,Eggs,Eggs,Blue Medal Large Brown Eggs
CR-10408,1,Frozen Foods,Food,TV Dinner,Frozen Entrees,Big Time Chicken TV Dinner
CR-10408,1,Frozen Foods,Drink,TV Dinner,Frozen Entrees,Big Time Chicken TV Dinner
CR-10099,1,Frozen Foods,Food,Pancake Mix,Breakfast Foods,Golden Pancake Mix
CR-10099,1,Frozen Foods,Drink,Pancake Mix,Breakfast Foods,Golden Pancake Mix
CR-10326,1,Breakfast Foods,Food,Cereal,Breakfast Foods,Best Grits
CR-10326,1,Breakfast Foods,Drink,Cereal,Breakfast Foods,Best Grits
CR-10612,1,Baking Goods,Food,Preserves,Jams and Jellies,Landslide Apple Butter
CR-10612,1,Baking Goods,Drink,Preserves,Jams and Jellies,Landslide Apple Butter
CR-10328,1,Canned Foods,Food,Canned Vegetables,Vegetables,Better Creamed Corn
CR-10328,1,Canned Foods,Drink,Canned Vegetables,Vegetables,Better Creamed Corn
