Item Branch 3rd Item Number,Item Branch G/L Category,Short Name,Item Branch 2nd Item Number,Item-Branch Key,Item Branch Reorder Quantity,Horsepower,Item Branch Category Code 6,Item Branch Category Code 7,Item Branch Primary Supplier
39928,SRCW,10019,39928,CR-10019,0,50,1015,      ,1
39928,SRCW,10019,39928,CR-10019,0,50,1015,      ,1
60927,AFAB,10230,60927,CR-10230,0,50,1050,      ,1
60927,AFAB,10230,60927,CR-10230,0,50,1050,      ,1
40567,MKTG,10952,40567,CR-10952,10000,50,5020,      ,37228
40567,MKTG,10952,40567,CR-10952,10000,50,5020,      ,37228
63708,NISS,10691,63708,PC-10691,0,50,1080,      ,1
63708,NISS,10691,63708,PC-10691,0,50,1080,      ,1
15667,SRCW,10297,15667,CR-10297,0,50,1015,      ,20726
15667,SRCW,10297,15667,CR-10297,0,50,1015,      ,20726
26121,TFAB,10623,26121,CR-10623,0,30,1025,      ,100111
26121,TFAB,10623,26121,CR-10623,0,30,1025,      ,100111
31609,SRCW,10075,31609,CR-10075,0,30,1015,      ,1
31609,SRCW,10075,31609,CR-10075,0,30,1015,      ,1
34287,SMWN,10254,34287,CR-10254,0,10,1045,      ,100053
34287,SMWN,10254,34287,CR-10254,0,10,1045,      ,100053
34786,SMWN,10312,34786,CR-10312,0,30,1045,      ,0
34786,SMWN,10312,34786,CR-10312,0,30,1045,      ,0
37980,TFAB,10658,37980,CR-10658,0,30,1025,      ,1
37980,TFAB,10658,37980,CR-10658,0,30,1025,      ,1
38821,AXLE,10816,38821,CR-10816,0,50,1010,      ,1
38821,AXLE,10816,38821,CR-10816,0,50,1010,      ,1
39595,TMTG,10966,39595,CR-10966,0,50,1030,      ,20196
39595,TMTG,10966,39595,CR-10966,0,50,1030,      ,20196
63381,SRCW,10649,63381,CR-10649,0,10,1015,      ,33178
63381,SRCW,10649,63381,CR-10649,0,10,1015,      ,33178
63783,ATVW,10702,63783,CR-10702,0,50,1040,      ,0
63783,ATVW,10702,63783,CR-10702,0,50,1040,      ,0
915327,MKTG,10953,915327,CR-10953,500000,50,5020,      ,32602
915327,MKTG,10953,915327,CR-10953,500000,50,5020,      ,32602
63904,IWE,10725,63904,PC-10725,0,10,1090,      ,0
63904,IWE,10725,63904,PC-10725,0,10,1090,      ,0
1106,SRCW,10001,1106,CR-10001,0,10,1015,      ,20383
1106,SRCW,10001,1106,CR-10001,0,10,1015,      ,20383
15668,SRCW,10298,15668,CR-10298,0,10,1015,      ,20383
15668,SRCW,10298,15668,CR-10298,0,10,1015,      ,20383
19744,TMTG,10379,19744,CR-10379,0,50,1030,      ,1
19744,TMTG,10379,19744,CR-10379,0,50,1030,      ,1
26123,TFAB,10624,26123,CR-10624,0,30,1025,      ,100111
26123,TFAB,10624,26123,CR-10624,0,30,1025,      ,100111
34788,SRCW,10313,34788,CR-10313,0,50,1015,      ,1
34788,SRCW,10313,34788,CR-10313,0,50,1015,      ,1
37981,TFAB,10659,37981,CR-10659,0,30,1025,      ,1
37981,TFAB,10659,37981,CR-10659,0,30,1025,      ,1
38822,AXLE,10817,38822,CR-10817,0,50,1010,      ,100111
38822,AXLE,10817,38822,CR-10817,0,50,1010,      ,100111
39240,ACCE,10878,39240,CR-10878,0,50,1035,      ,1
39240,ACCE,10878,39240,CR-10878,0,50,1035,      ,1
61700,TFAB,10347,61700,CR-10347,0,30,1025,      ,1
61700,TFAB,10347,61700,CR-10347,0,30,1025,      ,1
62754,AXLE,10534,62754,CR-10534,0,30,1010,      ,1
62754,AXLE,10534,62754,CR-10534,0,30,1010,      ,1
63062,TMTG,10589,63062,CR-10589,0,50,1030,      ,1
63062,TMTG,10589,63062,CR-10589,0,50,1030,      ,1
26125,TFAB,10625,26125,CR-10625,0,30,1025,      ,20169
26125,TFAB,10625,26125,CR-10625,0,30,1025,      ,20169
29519,SRCW,10914,29519,CR-10914,0,30,1015,      ,1
29519,SRCW,10914,29519,CR-10914,0,30,1015,      ,1
34789,SRCW,10314,34789,CR-10314,0,50,1015,      ,1
34789,SRCW,10314,34789,CR-10314,0,50,1015,      ,1
37543,SMWN,10580,37543,CR-10580,0,10,1045,      ,100089
37543,SMWN,10580,37543,CR-10580,0,10,1045,      ,100089
38826,THUB,10818,38826,CR-10818,0,50,1005,      ,1
38826,THUB,10818,38826,CR-10818,0,50,1005,      ,1
60934,SRCW,10231,60934,CR-10231,0,10,1015,      ,100114
60934,SRCW,10231,60934,CR-10231,0,10,1015,      ,100114
62434,TMTG,10482,62434,CR-10482,0,50,1030,      ,1
62434,TMTG,10482,62434,CR-10482,0,50,1030,      ,1
62755,AXLE,10535,62755,CR-10535,0,30,1010,      ,1
62755,AXLE,10535,62755,CR-10535,0,30,1010,      ,1
63063,ACCE,10590,63063,CR-10590,0,50,1035,      ,1
63063,ACCE,10590,63063,CR-10590,0,50,1035,      ,1
15686,SRCW,10299,15686,CR-10299,0,50,1015,      ,1
15686,SRCW,10299,15686,CR-10299,0,50,1015,      ,1
19746,TMTG,10380,19746,CR-10380,0,50,1030,      ,1
19746,TMTG,10380,19746,CR-10380,0,50,1030,      ,1
26126,TFAB,10626,26126,CR-10626,0,30,1025,      ,20169
26126,TFAB,10626,26126,CR-10626,0,30,1025,      ,20169
29060,SMWN,10851,29060,CR-10851,0,10,1045,      ,20534
29060,SMWN,10851,29060,CR-10851,0,10,1045,      ,20534
33050,ACCE,10203,33050,CR-10203,0,10,1035,      ,22270
33050,ACCE,10203,33050,CR-10203,0,10,1035,      ,22270
37985,AXLE,10660,37985,CR-10660,0,30,1010,      ,1
37985,AXLE,10660,37985,CR-10660,0,30,1010,      ,1
38827,AXLE,10819,38827,CR-10819,0,30,1010,      ,1
38827,AXLE,10819,38827,CR-10819,0,30,1010,      ,1
39599,SRCW,10967,39599,CR-10967,0,50,1015,      ,1
39599,SRCW,10967,39599,CR-10967,0,50,1015,      ,1
63064,TMTG,10591,63064,CR-10591,0,50,1030,      ,1
63064,TMTG,10591,63064,CR-10591,0,50,1030,      ,1
915417,MKTG,10030,915417,CR-10030,0,50,5020,      ,101622
915417,MKTG,10030,915417,CR-10030,0,50,5020,      ,101622
7071,TFAB,10088,7071,CR-10088,0,30,1025,      ,20169
7071,TFAB,10088,7071,CR-10088,0,30,1025,      ,20169
15693,SRCW,10300,15693,CR-10300,0,10,1015,      ,22780
15693,SRCW,10300,15693,CR-10300,0,10,1015,      ,22780
29061,THUB,10852,29061,CR-10852,0,50,1005,      ,1
29061,THUB,10852,29061,CR-10852,0,50,1005,      ,1
35363,ACCE,10394,35363,CR-10394,0,50,1035,      ,1
35363,ACCE,10394,35363,CR-10394,0,50,1035,      ,1
39600,SRCW,10968,39600,CR-10968,0,50,1015,      ,1
39600,SRCW,10968,39600,CR-10968,0,50,1015,      ,1
61341,TFAB,10277,61341,CR-10277,0,30,1025,      ,1
61341,TFAB,10277,61341,CR-10277,0,30,1025,      ,1
63065,TMTG,10592,63065,CR-10592,0,50,1030,      ,1
63065,TMTG,10592,63065,CR-10592,0,50,1030,      ,1
63788,AFAB,10703,63788,CR-10703,0,50,1050,      ,0
63788,AFAB,10703,63788,CR-10703,0,50,1050,      ,0
64302,AFAB,10991,64302,CR-10991,0,50,1050,      ,0
64302,AFAB,10991,64302,CR-10991,0,50,1050,      ,0
24020,SRCW,10525,24020,CR-10525,0,30,1015,      ,1
24020,SRCW,10525,24020,CR-10525,0,30,1015,      ,1
29062,THUB,10853,29062,CR-10853,0,50,1005,      ,1
29062,THUB,10853,29062,CR-10853,0,50,1005,      ,1
37987,AXLE,10661,37987,CR-10661,0,10,1010,      ,30392
37987,AXLE,10661,37987,CR-10661,0,10,1010,      ,30392
39601,SRCW,10969,39601,CR-10969,0,50,1015,      ,1
39601,SRCW,10969,39601,CR-10969,0,50,1015,      ,1
62437,TFAB,10483,62437,CR-10483,0,30,1025,      ,1
62437,TFAB,10483,62437,CR-10483,0,30,1025,      ,1
62759,SMWN,10536,62759,CR-10536,0,10,1045,      ,20534
62759,SMWN,10536,62759,CR-10536,0,10,1045,      ,20534
63066,TMTG,10593,63066,CR-10593,0,50,1030,      ,1
63066,TMTG,10593,63066,CR-10593,0,50,1030,      ,1
63789,AXLE,10704,63789,CR-10704,10000000,10,1010,      ,101659
63789,AXLE,10704,63789,CR-10704,10000000,10,1010,      ,101659
60256-6,SRCW,10954,60256-6,CR-10954,0,50,1015,      ,1
60256-6,SRCW,10954,60256-6,CR-10954,0,50,1015,      ,1
64213,TFAB,10992,64213,CR-10992,0,30,1025,      ,0
64213,TFAB,10992,64213,CR-10992,0,30,1025,      ,0
29063,THUB,10854,29063,CR-10854,0,50,1005,      ,1
29063,THUB,10854,29063,CR-10854,0,50,1005,      ,1
31618,SRCW,10076,31618,CR-10076,200000,30,1015,      ,0
31618,SRCW,10076,31618,CR-10076,200000,30,1015,      ,0
35365,ACCE,10395,35365,CR-10395,0,50,1035,      ,1
35365,ACCE,10395,35365,CR-10395,0,50,1035,      ,1
39602,SRCW,10970,39602,CR-10970,0,50,1015,      ,1
39602,SRCW,10970,39602,CR-10970,0,50,1015,      ,1
39935,TFAB,10020,39935,CR-10020,0,30,1025,      ,1
39935,TFAB,10020,39935,CR-10020,0,30,1025,      ,1
61343,TFAB,10278,61343,CR-10278,0,30,1025,      ,1
61343,TFAB,10278,61343,CR-10278,0,30,1025,      ,1
62760,SMWN,10537,62760,CR-10537,0,10,1045,      ,20534
62760,SMWN,10537,62760,CR-10537,0,10,1045,      ,20534
63792,TFAB,10705,63792,CR-10705,0,30,1025,      ,1
63792,TFAB,10705,63792,CR-10705,0,30,1025,      ,1
64850,ATVW,10786,64850,CR-10786,0,50,1040,      ,0
64850,ATVW,10786,64850,CR-10786,0,50,1040,      ,0
1159,SRCW,10002,1159,CR-10002,0,10,1015,      ,20383
1159,SRCW,10002,1159,CR-10002,0,10,1015,      ,20383
15701,TFAB,10301,15701,CR-10301,0,30,1025,      ,20169
15701,TFAB,10301,15701,CR-10301,0,30,1025,      ,20169
29070,THUB,10855,29070,CR-10855,0,50,1005,      ,1
29070,THUB,10855,29070,CR-10855,0,50,1005,      ,1
31619,SRCW,10077,31619,CR-10077,200000,30,1015,      ,0
31619,SRCW,10077,31619,CR-10077,200000,30,1015,      ,0
34797,ATVW,10315,34797,CR-10315,0,50,1040,      ,1
34797,ATVW,10315,34797,CR-10315,0,50,1040,      ,1
39247,ACCE,10879,39247,CR-10879,0,50,1035,      ,36183
39247,ACCE,10879,39247,CR-10879,0,50,1035,      ,36183
39603,SRCW,10971,39603,CR-10971,0,50,1015,      ,1
39603,SRCW,10971,39603,CR-10971,0,50,1015,      ,1
64851,ATVW,10787,64851,CR-10787,0,50,1040,      ,0
64851,ATVW,10787,64851,CR-10787,0,50,1040,      ,0
63801,AFAB,10993,63801,CR-10993,0,50,1050,      ,1
63801,AFAB,10993,63801,CR-10993,0,50,1050,      ,1
30424,SHUB,10005,30424,PC-10005,0,50,1055,      ,1
30424,SHUB,10005,30424,PC-10005,0,50,1055,      ,1
29071,THUB,10856,29071,CR-10856,0,50,1005,      ,1
29071,THUB,10856,29071,CR-10856,0,50,1005,      ,1
29577,ACCE,10915,29577,CR-10915,0,50,1035,      ,1
29577,ACCE,10915,29577,CR-10915,0,50,1035,      ,1
34798,UTIW,10316,34798,CR-10316,0,50,1020,      ,1
34798,UTIW,10316,34798,CR-10316,0,50,1020,      ,1
38837,SRCW,10820,38837,CR-10820,0,30,1015,      ,1
38837,SRCW,10820,38837,CR-10820,0,30,1015,      ,1
39248,ACCE,10880,39248,CR-10880,0,50,1035,      ,36183
39248,ACCE,10880,39248,CR-10880,0,50,1035,      ,36183
60940,AFAB,10232,60940,CR-10232,0,50,1050,      ,1
60940,AFAB,10232,60940,CR-10232,0,50,1050,      ,1
61345,TFAB,10279,61345,CR-10279,0,30,1025,      ,1
61345,TFAB,10279,61345,CR-10279,0,30,1025,      ,1
30425,SHUB,10006,30425,PC-10006,0,50,1055,      ,1
30425,SHUB,10006,30425,PC-10006,0,50,1055,      ,1
13617,TFAB,10224,13617,CR-10224,0,10,1025,      ,20534
13617,TFAB,10224,13617,CR-10224,0,10,1025,      ,20534
15703,TFAB,10302,15703,CR-10302,0,30,1025,      ,20169
15703,TFAB,10302,15703,CR-10302,0,30,1025,      ,20169
26140,TMTG,10627,26140,CR-10627,0,50,1030,      ,24433
26140,TMTG,10627,26140,CR-10627,0,50,1030,      ,24433
29578,ACCE,10916,29578,CR-10916,0,50,1035,      ,1
29578,ACCE,10916,29578,CR-10916,0,50,1035,      ,1
60520,TMTG,10181,60520,CR-10181,0,50,1030,      ,1
60520,TMTG,10181,60520,CR-10181,0,50,1030,      ,1
61346,SRCW,10280,61346,CR-10280,0,50,1015,      ,0
61346,SRCW,10280,61346,CR-10280,0,50,1015,      ,0
61736,SRCW,10348,61736,CR-10348,0,10,1015,      ,20534
61736,SRCW,10348,61736,CR-10348,0,10,1015,      ,20534
62441,TFAB,10484,62441,CR-10484,0,30,1025,      ,1
62441,TFAB,10484,62441,CR-10484,0,30,1025,      ,1
63070,ATVW,10594,63070,CR-10594,0,50,1040,      ,1
63070,ATVW,10594,63070,CR-10594,0,50,1040,      ,1
63795,ATVW,10706,63795,CR-10706,0,50,1040,      ,0
63795,ATVW,10706,63795,CR-10706,0,50,1040,      ,0
30426,SHUB,10007,30426,PC-10007,0,50,1055,      ,1
30426,SHUB,10007,30426,PC-10007,0,50,1055,      ,1
26141,TFAB,10628,26141,CR-10628,0,30,1025,      ,24433
26141,TFAB,10628,26141,CR-10628,0,30,1025,      ,24433
29579,ACCE,10917,29579,CR-10917,0,50,1035,      ,1
29579,ACCE,10917,29579,CR-10917,0,50,1035,      ,1
31623,SRCW,10078,31623,CR-10078,0,50,1015,      ,1
31623,SRCW,10078,31623,CR-10078,0,50,1015,      ,1
39252,AXLE,10881,39252,CR-10881,0,50,1010,      ,1
39252,AXLE,10881,39252,CR-10881,0,50,1010,      ,1
39606,AFAB,10972,39606,CR-10972,0,50,1050,      ,1
39606,AFAB,10972,39606,CR-10972,0,50,1050,      ,1
62442,TFAB,10485,62442,CR-10485,0,30,1025,      ,1
62442,TFAB,10485,62442,CR-10485,0,30,1025,      ,1
63796,AFAB,10707,63796,CR-10707,0,50,1050,      ,1
63796,AFAB,10707,63796,CR-10707,0,50,1050,      ,1
63582,AFAB,10994,63582,CR-10994,0,50,1050,      ,1
63582,AFAB,10994,63582,CR-10994,0,50,1050,      ,1
1319,AXLE,10003,1319,CR-10003,34000000,10,1010,      ,20534
1319,AXLE,10003,1319,CR-10003,34000000,10,1010,      ,20534
7165,TFAB,10089,7165,CR-10089,0,10,1025,      ,20534
7165,TFAB,10089,7165,CR-10089,0,10,1025,      ,20534
25300,ACCE,10554,25300,CR-10554,0,50,1035,      ,1
25300,ACCE,10554,25300,CR-10554,0,50,1035,      ,1
29076,THUB,10857,29076,CR-10857,0,50,1005,      ,1
29076,THUB,10857,29076,CR-10857,0,50,1005,      ,1
30723,TFAB,10031,30723,CR-10031,0,10,1025,      ,22780
30723,TFAB,10031,30723,CR-10031,0,10,1025,      ,22780
35370,ACCE,10396,35370,CR-10396,0,50,1035,      ,1
35370,ACCE,10396,35370,CR-10396,0,50,1035,      ,1
39253,AXLE,10882,39253,CR-10882,0,50,1010,      ,1
39253,AXLE,10882,39253,CR-10882,0,50,1010,      ,1
39607,AFAB,10973,39607,CR-10973,0,50,1050,      ,1
39607,AFAB,10973,39607,CR-10973,0,50,1050,      ,1
61738,SRCW,10349,61738,CR-10349,0,30,1015,      ,0
61738,SRCW,10349,61738,CR-10349,0,30,1015,      ,0
30447,SHUB,10008,30447,PC-10008,0,50,1055,      ,1
30447,SHUB,10008,30447,PC-10008,0,50,1055,      ,1
1320,SMWN,10004,1320,CR-10004,0,10,1045,      ,20534
1320,SMWN,10004,1320,CR-10004,0,10,1045,      ,20534
15712,SRCW,10303,15712,CR-10303,0,50,1015,      ,1
15712,SRCW,10303,15712,CR-10303,0,50,1015,      ,1
26143,TFAB,10629,26143,CR-10629,0,30,1025,      ,24433
26143,TFAB,10629,26143,CR-10629,0,30,1025,      ,24433
38842,SRCW,10821,38842,CR-10821,0,50,1015,      ,1
38842,SRCW,10821,38842,CR-10821,0,50,1015,      ,1
39608,AFAB,10974,39608,CR-10974,0,50,1050,      ,1
39608,AFAB,10974,39608,CR-10974,0,50,1050,      ,1
61739,SRCW,10350,61739,CR-10350,0,30,1015,      ,1
61739,SRCW,10350,61739,CR-10350,0,30,1015,      ,1
62444,SRCW,10486,62444,CR-10486,0,30,1015,      ,0
62444,SRCW,10486,62444,CR-10486,0,30,1015,      ,0
62766,ATVW,10538,62766,CR-10538,0,50,1040,      ,0
62766,ATVW,10538,62766,CR-10538,0,50,1040,      ,0
63073,ATVW,10595,63073,CR-10595,0,50,1040,      ,1
63073,ATVW,10595,63073,CR-10595,0,50,1040,      ,1
30448,SHUB,10009,30448,PC-10009,0,50,1055,      ,1
30448,SHUB,10009,30448,PC-10009,0,50,1055,      ,1
1321,TFAB,10005,1321,CR-10005,0,10,1025,      ,20534
1321,TFAB,10005,1321,CR-10005,0,10,1025,      ,20534
25307,SRCW,10555,25307,CR-10555,0,30,1015,      ,1
25307,SRCW,10555,25307,CR-10555,0,30,1015,      ,1
29081,THUB,10858,29081,CR-10858,0,50,1005,      ,1
29081,THUB,10858,29081,CR-10858,0,50,1005,      ,1
38004,AXLE,10665,38004,CR-10665,0,50,1010,      ,1
38004,AXLE,10665,38004,CR-10665,0,50,1010,      ,1
38843,SRCW,10822,38843,CR-10822,0,50,1015,      ,1
38843,SRCW,10822,38843,CR-10822,0,50,1015,      ,1
39609,AFAB,10975,39609,CR-10975,0,50,1050,      ,1
39609,AFAB,10975,39609,CR-10975,0,50,1050,      ,1
62445,SRCW,10487,62445,CR-10487,0,30,1015,      ,0
62445,SRCW,10487,62445,CR-10487,0,30,1015,      ,0
63800,AFAB,10708,63800,CR-10708,110000,50,1050,      ,0
63800,AFAB,10708,63800,CR-10708,110000,50,1050,      ,0
30449,SHUB,10010,30449,PC-10010,0,50,1055,      ,1
30449,SHUB,10010,30449,PC-10010,0,50,1055,      ,1
1322,TFAB,10006,1322,CR-10006,0,10,1025,      ,20534
1322,TFAB,10006,1322,CR-10006,0,10,1025,      ,20534
15739,SRCW,10304,15739,CR-10304,0,50,1015,      ,1
15739,SRCW,10304,15739,CR-10304,0,50,1015,      ,1
25308,SRCW,10556,25308,CR-10556,0,30,1015,      ,1
25308,SRCW,10556,25308,CR-10556,0,30,1015,      ,1
31634,SRCW,10079,31634,CR-10079,0,30,1015,      ,0
31634,SRCW,10079,31634,CR-10079,0,30,1015,      ,0
37095,TFAB,10505,37095,CR-10505,0,30,1025,      ,1
37095,TFAB,10505,37095,CR-10505,0,30,1025,      ,1
38005,AXLE,10666,38005,CR-10666,0,50,1010,      ,1
38005,AXLE,10666,38005,CR-10666,0,50,1010,      ,1
38844,SRCW,10823,38844,CR-10823,0,50,1015,      ,1
38844,SRCW,10823,38844,CR-10823,0,50,1015,      ,1
39610,AFAB,10976,39610,CR-10976,0,50,1050,      ,1
39610,AFAB,10976,39610,CR-10976,0,50,1050,      ,1
62446,SRCW,10488,62446,CR-10488,0,30,1015,      ,0
62446,SRCW,10488,62446,CR-10488,0,30,1015,      ,0
62768,ATVW,10539,62768,CR-10539,0,50,1040,      ,0
62768,ATVW,10539,62768,CR-10539,0,50,1040,      ,0
63803,AFAB,10709,63803,CR-10709,0,50,1050,      ,0
63803,AFAB,10709,63803,CR-10709,0,50,1050,      ,0
30450,SHUB,10011,30450,PC-10011,0,50,1055,      ,1
30450,SHUB,10011,30450,PC-10011,0,50,1055,      ,1
1323,TFAB,10007,1323,CR-10007,0,10,1025,      ,20534
1323,TFAB,10007,1323,CR-10007,0,10,1025,      ,20534
25314,SRCW,10557,25314,CR-10557,0,10,1015,      ,100114
25314,SRCW,10557,25314,CR-10557,0,10,1015,      ,100114
29087,THUB,10859,29087,CR-10859,0,50,1005,      ,1
29087,THUB,10859,29087,CR-10859,0,50,1005,      ,1
38006,AXLE,10667,38006,CR-10667,0,50,1010,      ,1
38006,AXLE,10667,38006,CR-10667,0,50,1010,      ,1
38845,SRCW,10824,38845,CR-10824,0,50,1015,      ,1
38845,SRCW,10824,38845,CR-10824,0,50,1015,      ,1
7300,THUB,10090,7300,CR-10090,0,50,1005,      ,1
7300,THUB,10090,7300,CR-10090,0,50,1005,      ,1
29586,UTIW,10918,29586,CR-10918,0,50,1020,      ,1
29586,UTIW,10918,29586,CR-10918,0,50,1020,      ,1
34809,SRCW,10317,34809,CR-10317,0,50,1015,      ,1
34809,SRCW,10317,34809,CR-10317,0,50,1015,      ,1
37570,AFAB,10583,37570,CR-10583,0,50,1050,      ,1
37570,AFAB,10583,37570,CR-10583,0,50,1050,      ,1
38007,AXLE,10668,38007,CR-10668,0,50,1010,      ,1
38007,AXLE,10668,38007,CR-10668,0,50,1010,      ,1
38846,SRCW,10825,38846,CR-10825,0,50,1015,      ,1
38846,SRCW,10825,38846,CR-10825,0,50,1015,      ,1
39259,TFAB,10883,39259,CR-10883,0,10,1025,      ,20534
39259,TFAB,10883,39259,CR-10883,0,10,1025,      ,20534
39617,TFAB,10977,39617,CR-10977,0,30,1025,      ,1
39617,TFAB,10977,39617,CR-10977,0,30,1025,      ,1
61743,AXLE,10354,61743,CR-10354,0,50,1010,      ,1
61743,AXLE,10354,61743,CR-10354,0,50,1010,      ,1
62770,ATVW,10540,62770,CR-10540,0,50,1040,      ,0
62770,ATVW,10540,62770,CR-10540,0,50,1040,      ,0
63077,ATVW,10596,63077,CR-10596,0,50,1040,      ,0
63077,ATVW,10596,63077,CR-10596,0,50,1040,      ,0
915412,MKTG,10031,915412,CR-10031,0,50,5020,      ,101622
915412,MKTG,10031,915412,CR-10031,0,50,5020,      ,101622
1388,AXLE,10008,1388,CR-10008,0,10,1010,      ,20534
1388,AXLE,10008,1388,CR-10008,0,10,1010,      ,20534
13697,SRCW,10225,13697,CR-10225,0,10,1015,      ,20534
13697,SRCW,10225,13697,CR-10225,0,10,1015,      ,20534
29091,THUB,10860,29091,CR-10860,0,50,1005,      ,1
29091,THUB,10860,29091,CR-10860,0,50,1005,      ,1
29587,ATVW,10919,29587,CR-10919,0,50,1040,      ,100053
29587,ATVW,10919,29587,CR-10919,0,50,1040,      ,100053
30732,TMTG,10032,30732,CR-10032,0,50,1030,      ,100065
30732,TMTG,10032,30732,CR-10032,0,50,1030,      ,100065
34810,SRCW,10318,34810,CR-10318,0,30,1015,      ,1
34810,SRCW,10318,34810,CR-10318,0,30,1015,      ,1
37100,TFAB,10506,37100,CR-10506,0,10,1025,      ,21893
37100,TFAB,10506,37100,CR-10506,0,10,1025,      ,21893
38008,AXLE,10669,38008,CR-10669,0,10,1010,      ,100233
38008,AXLE,10669,38008,CR-10669,0,10,1010,      ,100233
38847,SRCW,10826,38847,CR-10826,0,50,1015,      ,1
38847,SRCW,10826,38847,CR-10826,0,50,1015,      ,1
61744,AXLE,10355,61744,CR-10355,0,50,1010,      ,1
61744,AXLE,10355,61744,CR-10355,0,50,1010,      ,1
63078,ATVW,10597,63078,CR-10597,0,50,1040,      ,1
63078,ATVW,10597,63078,CR-10597,0,50,1040,      ,1
63814,ATVW,10710,63814,CR-10710,0,50,1040,      ,1
63814,ATVW,10710,63814,CR-10710,0,50,1040,      ,1
63978,ATVW,10955,63978,CR-10955,0,50,1040,      ,0
63978,ATVW,10955,63978,CR-10955,0,50,1040,      ,0
40647,MKTG,10032,40647,CR-10032,0,50,5020,      ,100216
40647,MKTG,10032,40647,CR-10032,0,50,5020,      ,100216
7302,THUB,10091,7302,CR-10091,0,50,1005,      ,100105
7302,THUB,10091,7302,CR-10091,0,50,1005,      ,100105
13698,SRCW,10226,13698,CR-10226,0,10,1015,      ,22780
13698,SRCW,10226,13698,CR-10226,0,10,1015,      ,22780
25322,ACCE,10558,25322,CR-10558,0,50,1035,      ,1
25322,ACCE,10558,25322,CR-10558,0,50,1035,      ,1
26150,TMTG,10630,26150,CR-10630,0,50,1030,      ,100085
26150,TMTG,10630,26150,CR-10630,0,50,1030,      ,100085
29092,THUB,10861,29092,CR-10861,0,50,1005,      ,1
29092,THUB,10861,29092,CR-10861,0,50,1005,      ,1
38848,AXLE,10827,38848,CR-10827,0,50,1010,      ,1
38848,AXLE,10827,38848,CR-10827,0,50,1010,      ,1
61745,AXLE,10356,61745,CR-10356,0,50,1010,      ,1
61745,AXLE,10356,61745,CR-10356,0,50,1010,      ,1
