DummyField,BudgetInput2,BudgetYear,BudgetPeriod,Type,Budget Amount,Actual Amount,BudKey,BudgetInput
1,209,2022,1,Budget,14799.74,0,10014546,14799.74
1,212,2022,1,Budget,16071.67,0,10002765,16071.67
1,213,2022,1,Budget,16076.33,0,10022725,16076.33
1,214,2022,1,Budget,16127.7,0,10012425,16127.7
1,215,2022,1,Budget,16417.07,0,10025264,16417.07
1,216,2022,1,Budget,17217.29,0,10021412,17217.29
1,218,2022,1,Budget,17864.69,0,10016588,17864.69
1,219,2022,1,Budget,18018.52,0,10005006,18018.52
1,220,2022,1,Budget,18435.16,0,10024006,18435.16
1,227,2022,1,Budget,21618.75,0,10019942,21618.75
1,228,2022,1,Budget,21733.93,0,10020192,21733.93
1,229,2022,1,Budget,22627.7,0,10009985,22627.7
1,230,2022,1,Budget,25305.75,0,10026839,25305.75
1,231,2022,1,Budget,25941.27,0,10002506,25941.27
1,236,2022,1,Budget,28004.81,0,10012422,28004.81
1,237,2022,1,Budget,28063.83,0,10023221,28063.83
1,240,2022,1,Budget,29119.07,0,10020962,29119.07
1,244,2022,1,Budget,30638.34,0,10023524,30638.34
1,246,2022,1,Budget,34665.02,0,10012715,34665.02
1,249,2022,1,Budget,41457.96,0,10024248,41457.96
1,251,2022,1,Budget,52142.21,0,10023715,52142.21
1,252,2022,1,Budget,55286.73,0,10025025,55286.73
1,255,2022,1,Budget,58841.7,0,10026348,58841.7
1,256,2022,1,Budget,59841.13,0,10021911,59841.13
1,257,2022,1,Budget,66183.59,0,10020927,66183.59
1,259,2022,1,Budget,73918.85,0,10023538,73918.85
1,261,2022,1,Budget,81657.02,0,10009356,81657.02
1,262,2022,1,Budget,88075.89,0,10025919,88075.89
1,265,2022,1,Budget,105127.41,0,10017828,105127.41
1,266,2022,1,Budget,107062.78,0,10013238,107062.78
1,267,2022,1,Budget,135853.83,0,10021223,135853.83
1,268,2022,1,Budget,153628.89,0,10018871,153628.89
1,270,2022,1,Budget,174892.31,0,10020184,174892.31
1,271,2022,1,Budget,202134.43,0,10023023,202134.43
1,274,2022,1,Budget,567856.03,0,10021485,567856.03
1,276,2022,1,Actual,0,0,10009985,0
1,277,2022,1,Actual,0,0,10013238,0
1,278,2022,1,Actual,0,0,10023023,0
1,279,2022,1,Actual,0,0,10007121,0
1,280,2022,1,Actual,0,0,10025051,0
1,281,2022,1,Actual,0,0,10021485,0
1,282,2022,1,Actual,0,0,10026336,0
1,283,2022,1,Actual,0,0,10011734,0
1,284,2022,1,Actual,0,0,10021184,0
1,285,2022,1,Actual,0,0,10016588,0
1,286,2022,1,Actual,0,0,10020914,0
1,287,2022,1,Actual,0,0,10015824,0
1,288,2022,1,Actual,0,0,10023783,0
1,289,2022,1,Actual,0,0,10009623,0
1,290,2022,1,Actual,0,0,10024006,0
1,291,2022,1,Actual,0,0,10023538,0
1,292,2022,1,Actual,0,0,10026348,0
1,295,2022,1,Actual,0,0,10024260,0
1,296,2022,1,Actual,0,0,10016045,0
1,297,2022,1,Actual,0,0,10025061,0
1,298,2022,1,Actual,0,0,10006862,0
1,299,2022,1,Actual,0,0,10010912,0
1,300,2022,1,Actual,0,0,10023516,0
1,301,2022,1,Actual,0,0,10002746,0
1,302,2022,1,Actual,0,0,10024999,0
1,303,2022,1,Actual,0,0,10006037,0
1,308,2022,1,Actual,0,0,10022249,0
1,309,2022,1,Actual,0,0,10006805,0
1,310,2022,1,Actual,0,0,10013252,0
1,312,2022,1,Actual,0,0,10023235,0
1,313,2022,1,Actual,0,0,10023785,0
1,314,2022,1,Actual,0,0,10010904,0
1,315,2022,1,Actual,0,0,10025549,0
1,316,2022,1,Actual,0,0,10016303,0
1,317,2022,1,Actual,0,0,10023244,0
1,325,2022,1,Actual,0,2450.43,10025021,0
1,326,2022,1,Actual,0,27.3,10025243,0
1,329,2022,1,Actual,0,95.92,10014495,0
1,330,2022,1,Actual,0,95.92,10013232,0
1,331,2022,1,Actual,0,640.01,10018628,0
1,332,2022,1,Actual,0,340.42,10018890,0
1,333,2022,1,Actual,0,10835.3,10000466,0
1,334,2022,1,Actual,0,-2472.49,10025287,0
1,335,2022,1,Actual,0,9348.86,10024010,0
1,336,2022,1,Actual,0,22195.57,10025248,0
1,337,2022,1,Actual,0,12770.35,10024246,0
1,338,2022,1,Actual,0,11566.31,10018871,0
1,339,2022,1,Actual,0,5622.54,10025778,0
1,340,2022,1,Actual,0,863705.32,10025039,0
1,343,2022,1,Actual,0,97424.06,10026291,0
1,344,2022,1,Actual,0,2118.25,10019388,0
1,345,2022,1,Actual,0,4912.36,10025515,0
1,348,2022,1,Actual,0,13139.93,10002765,0
1,349,2022,1,Actual,0,231.89,10020909,0
1,350,2022,1,Actual,0,1596.09,10019617,0
1,353,2022,1,Actual,0,27.7,10017314,0
1,354,2022,1,Actual,0,2008.03,10023760,0
1,356,2022,1,Actual,0,3722.98,10025791,0
1,357,2022,1,Actual,0,3479.98,10020927,0
1,359,2022,1,Actual,0,8979.4,10025269,0
1,360,2022,1,Actual,0,18061.23,10027381,0
1,361,2022,1,Actual,0,263.67,10027053,0
1,364,2022,1,Actual,0,22055.11,10025758,0
1,368,2022,1,Actual,0,2296.53,10000474,0
1,370,2022,1,Actual,0,1878.33,10007566,0
1,372,2022,1,Actual,0,773.6,10011923,0
1,373,2022,1,Actual,0,272229.02,10021222,0
1,376,2022,1,Actual,0,-6012.48,10020445,0
1,379,2022,1,Actual,0,3315.44,10024255,0
1,383,2022,1,Actual,0,13202.31,10023241,0
1,384,2022,1,Actual,0,553194.46,10025552,0
1,385,2022,1,Actual,0,2722.7,10019909,0
1,386,2022,1,Actual,0,3828.78,10021203,0
1,387,2022,1,Actual,0,378.8,10022490,0
1,390,2022,1,Actual,0,3404.61,10012422,0
1,393,2022,1,Actual,0,19413,10007123,0
1,394,2022,1,Actual,0,307,10009156,0
1,399,2022,1,Actual,0,7707.68,10014810,0
1,401,2022,1,Actual,0,-869.5,10000458,0
1,403,2022,1,Actual,0,8921.86,10024725,0
1,404,2022,1,Actual,0,3202.51,10015793,0
1,405,2022,1,Actual,0,5384.03,10021936,0
1,407,2022,1,Actual,0,2053.15,10025284,0
1,414,2022,1,Actual,0,17715.92,10027572,0
1,415,2022,1,Actual,0,336.98,10022750,0
1,416,2022,1,Actual,0,62990.59,10024022,0
1,418,2022,1,Actual,0,11067.09,10020413,0
1,420,2022,1,Actual,0,96.82,10021986,0
1,421,2022,1,Actual,0,2584.34,10021179,0
1,423,2022,1,Actual,0,9168.91,10025247,0
1,424,2022,1,Actual,0,22391.14,10008593,0
1,427,2022,1,Actual,0,8750.86,10019682,0
1,428,2022,1,Actual,0,1292.04,10020388,0
1,429,2022,1,Actual,0,1605.55,10016784,0
1,433,2022,1,Actual,0,-2623.85,10021412,0
1,438,2022,1,Actual,0,495.45,10009907,0
1,439,2022,1,Actual,0,11064.93,10009657,0
1,442,2022,1,Actual,0,-2935.18,10021911,0
1,447,2022,1,Actual,0,30.91,10010698,0
1,448,2022,1,Actual,0,24156.25,10017553,0
1,449,2022,1,Actual,0,3149.48,10014546,0
1,452,2022,1,Actual,0,1099.63,10021223,0
1,453,2022,1,Actual,0,1398.01,10023759,0
1,454,2022,1,Actual,0,46148.79,10025062,0
1,457,2022,1,Actual,0,50196.81,10021668,0
1,460,2022,1,Actual,0,110.05,10020390,0
1,462,2022,1,Actual,0,4497.6,10025285,0
1,465,2022,1,Actual,0,3064.39,10011981,0
1,466,2022,1,Actual,0,132778.53,10010935,0
1,467,2022,1,Actual,0,1169.66,10018665,0
1,468,2022,1,Actual,0,1333.84,10024499,0
1,469,2022,1,Actual,0,1432.02,10025251,0
1,472,2022,1,Actual,0,11799.51,10027583,0
1,473,2022,1,Actual,0,20656.37,10009654,0
1,476,2022,1,Actual,0,21818,10008638,0
1,478,2022,1,Actual,0,152.55,10017072,0
1,480,2022,1,Actual,0,35528.38,10023715,0
1,481,2022,1,Actual,0,844.52,10021470,0
1,482,2022,1,Actual,0,465.89,10002709,0
1,483,2022,1,Actual,0,48736.51,10019900,0
1,484,2022,1,Actual,0,30556,10017036,0
1,485,2022,1,Actual,0,1264.67,10018623,0
1,487,2022,1,Actual,0,13135.73,10025495,0
1,488,2022,1,Actual,0,3564.14,10024248,0
1,490,2022,1,Actual,0,96.98,10026078,0
1,491,2022,1,Actual,0,1570.39,10008381,0
1,493,2022,1,Actual,0,47.23,10007355,0
1,494,2022,1,Actual,0,4023.06,10011198,0
1,495,2022,1,Actual,0,3.65,10025771,0
1,496,2022,1,Actual,0,35524.19,10025919,0
1,497,2022,1,Actual,0,98.64,10023003,0
1,501,2022,1,Actual,0,163.91,10026581,0
1,503,2022,1,Actual,0,20407.99,10021459,0
1,504,2022,1,Actual,0,1924.32,10009662,0
1,505,2022,1,Actual,0,15030.79,10017585,0
1,507,2022,1,Actual,0,151.61,10009642,0
1,508,2022,1,Actual,0,70.85,10025252,0
1,509,2022,1,Actual,0,4883.77,10025038,0
1,511,2022,1,Actual,0,172.7,10018867,0
1,512,2022,1,Actual,0,4972.37,10006093,0
1,513,2022,1,Actual,0,66.5,10024541,0
1,514,2022,1,Actual,0,319.59,10016564,0
1,518,2022,1,Actual,0,9375.62,10009660,0
1,522,2022,1,Actual,0,47.08,10000460,0
1,523,2022,1,Actual,0,722.02,10027575,0
1,528,2022,1,Actual,0,810.25,10009672,0
1,529,2022,1,Actual,0,2090.97,10024743,0
1,530,2022,1,Actual,0,682.49,10008602,0
1,532,2022,1,Actual,0,1068.87,10026055,0
1,534,2022,1,Actual,0,268.26,10015030,0
1,537,2022,1,Actual,0,47359.41,10026299,0
1,539,2022,1,Actual,0,26767.95,10019150,0
1,541,2022,1,Actual,0,15723.32,10025037,0
1,542,2022,1,Actual,0,30739.8,10020663,0
1,543,2022,1,Actual,0,970.57,10026606,0
1,544,2022,1,Actual,0,35722.66,10005006,0
1,545,2022,1,Actual,0,10819.2,10019942,0
1,546,2022,1,Actual,0,24306.47,10020915,0
1,548,2022,1,Actual,0,1317.49,10010974,0
1,550,2022,1,Actual,0,2809.03,10026843,0
1,551,2022,1,Actual,0,14056.18,10014779,0
1,553,2022,1,Actual,0,6814.02,10016549,0
1,554,2022,1,Actual,0,10326.42,10025238,0
1,555,2022,1,Actual,0,6028.48,10020192,0
1,556,2022,1,Actual,0,8819.17,10008134,0
1,557,2022,1,Actual,0,72047.18,10017638,0
1,561,2022,1,Actual,0,6731.71,10025302,0
1,564,2022,1,Actual,0,53603.24,10024270,0
1,568,2022,1,Actual,0,9159.41,10013188,0
1,570,2022,1,Actual,0,38574.17,10025291,0
1,572,2022,1,Actual,0,15376.38,10015275,0
1,573,2022,1,Actual,0,18607.67,10027356,0
1,575,2022,1,Actual,0,9865.23,10018885,0
1,577,2022,1,Actual,0,16083.34,10009643,0
1,579,2022,1,Actual,0,24053.08,10017576,0
1,580,2022,1,Actual,0,2347.27,10010970,0
1,584,2022,1,Actual,0,5688.79,10026522,0
1,585,2022,1,Actual,0,359682.85,10023471,0
1,589,2022,1,Actual,0,20813.73,10000472,0
1,590,2022,1,Actual,0,2682.74,10025583,0
1,592,2022,1,Actual,0,44269.32,10023489,0
1,593,2022,1,Actual,0,19633,10020639,0
1,597,2022,1,Actual,0,113362.35,10023275,0
1,598,2022,1,Actual,0,3044.78,10019678,0
1,599,2022,1,Actual,0,10533.82,10025296,0
1,602,2022,2,Budget,-10897.35,0,10010914,-10897.35
1,603,2022,2,Budget,-10006.97,0,10016807,-10006.97
1,604,2022,2,Budget,-2054.88,0,10024022,-2054.88
1,605,2022,2,Budget,-1587.44,0,10019388,-1587.44
1,606,2022,2,Budget,-513.18,0,10000481,-513.18
1,608,2022,2,Budget,-11.74,0,10018580,-11.74
1,611,2022,2,Budget,15.49,0,10016784,15.49
1,612,2022,2,Budget,23.19,0,10014047,23.19
1,613,2022,2,Budget,24.33,0,10008593,24.33
1,614,2022,2,Budget,26.71,0,10010969,26.71
1,616,2022,2,Budget,35.14,0,10024009,35.14
1,617,2022,2,Budget,37.04,0,10026291,37.04
1,618,2022,2,Budget,37.61,0,10027381,37.61
1,619,2022,2,Budget,38.56,0,10020445,38.56
1,620,2022,2,Budget,48.96,0,10019664,48.96
1,622,2022,2,Budget,55.86,0,10007122,55.86
1,624,2022,2,Budget,63.23,0,10019678,63.23
1,625,2022,2,Budget,66.79,0,10021175,66.79
1,628,2022,2,Budget,96.8,0,10025021,96.8
1,630,2022,2,Budget,129.35,0,10022434,129.35
1,631,2022,2,Budget,130.92,0,10018623,130.92
1,632,2022,2,Budget,140.36,0,10024524,140.36
1,633,2022,2,Budget,142.18,0,10011521,142.18
1,634,2022,2,Budget,145.93,0,10000474,145.93
1,635,2022,2,Budget,147.13,0,10022431,147.13
1,636,2022,2,Budget,155.48,0,10018628,155.48
1,637,2022,2,Budget,163.94,0,10025287,163.94
1,639,2022,2,Budget,172.3,0,10020639,172.3
1,640,2022,2,Budget,181.21,0,10019109,181.21
1,642,2022,2,Budget,196.98,0,10025285,196.98
1,643,2022,2,Budget,198.81,0,10025305,198.81
1,645,2022,2,Budget,220.05,0,10002489,220.05
1,646,2022,2,Budget,221.59,0,10009657,221.59
1,648,2022,2,Budget,237.94,0,10025034,237.94
1,649,2022,2,Budget,255.64,0,10010698,255.64
1,650,2022,2,Budget,278.64,0,10016564,278.64
1,653,2022,2,Budget,289.27,0,10018867,289.27
1,654,2022,2,Budget,291.29,0,10024262,291.29
1,656,2022,2,Budget,313.68,0,10026532,313.68
1,657,2022,2,Budget,329.56,0,10023275,329.56
1,658,2022,2,Budget,336.56,0,10021179,336.56
1,661,2022,2,Budget,376.23,0,10004256,376.23
1,662,2022,2,Budget,413.29,0,10019880,413.29
1,663,2022,2,Budget,417.04,0,10025571,417.04
1,665,2022,2,Budget,420.19,0,10024003,420.19
1,666,2022,2,Budget,429.61,0,10025038,429.61
1,667,2022,2,Budget,434.23,0,10025284,434.23
1,668,2022,2,Budget,434.61,0,10009679,434.61
1,669,2022,2,Budget,442.33,0,10021203,442.33
1,670,2022,2,Budget,442.37,0,10025250,442.37
1,671,2022,2,Budget,451.6,0,10023513,451.6
1,672,2022,2,Budget,453.52,0,10009647,453.52
1,673,2022,2,Budget,484.68,0,10026062,484.68
1,674,2022,2,Budget,485.39,0,10024725,485.39
1,676,2022,2,Budget,491.88,0,10013188,491.88
1,678,2022,2,Budget,502.37,0,10026522,502.37
1,680,2022,2,Budget,563.95,0,10017576,563.95
1,681,2022,2,Budget,660.41,0,10019900,660.41
1,682,2022,2,Budget,673.23,0,10025248,673.23
1,683,2022,2,Budget,678.84,0,10014495,678.84
1,685,2022,2,Budget,699.15,0,10012234,699.15
1,686,2022,2,Budget,725.59,0,10014533,725.59
1,687,2022,2,Budget,725.87,0,10000473,725.87
1,688,2022,2,Budget,767.92,0,10025291,767.92
1,690,2022,2,Budget,816.76,0,10021184,816.76
1,691,2022,2,Budget,817.65,0,10025238,817.65
1,692,2022,2,Budget,826.28,0,10000455,826.28
1,693,2022,2,Budget,829.29,0,10013232,829.29
1,694,2022,2,Budget,885.38,0,10024246,885.38
1,696,2022,2,Budget,889.65,0,10020931,889.65
1,697,2022,2,Budget,892.21,0,10021936,892.21
1,698,2022,2,Budget,907.87,0,10025778,907.87
1,699,2022,2,Budget,1022.01,0,10003795,1022.01
1,700,2022,2,Budget,1053.14,0,10019909,1053.14
1,701,2022,2,Budget,1054.21,0,10000460,1054.21
1,703,2022,2,Budget,1079.56,0,10009642,1079.56
1,704,2022,2,Budget,1080.02,0,10025036,1080.02
1,705,2022,2,Budget,1120.03,0,10020962,1120.03
1,706,2022,2,Budget,1124.1,0,10022725,1124.1
1,707,2022,2,Budget,1134.41,0,10023783,1134.41
1,708,2022,2,Budget,1164.96,0,10026299,1164.96
1,709,2022,2,Budget,1170.18,0,10014803,1170.18
1,710,2022,2,Budget,1186.07,0,10023793,1186.07
1,711,2022,2,Budget,1201.18,0,10026581,1201.18
1,712,2022,2,Budget,1202.04,0,10000462,1202.04
1,713,2022,2,Budget,1289.4,0,10025495,1289.4
1,714,2022,2,Budget,1321.76,0,10022249,1321.76
1,715,2022,2,Budget,1357.47,0,10004245,1357.47
1,716,2022,2,Budget,1396.96,0,10007566,1396.96
1,717,2022,2,Budget,1424.4,0,10025264,1424.4
1,718,2022,2,Budget,1442.76,0,10006093,1442.76
1,719,2022,2,Budget,1461.31,0,10021145,1461.31
1,720,2022,2,Budget,1514.53,0,10022168,1514.53
1,721,2022,2,Budget,1541.26,0,10011734,1541.26
1,722,2022,2,Budget,1541.66,0,10009907,1541.66
1,723,2022,2,Budget,1641.59,0,10022730,1641.59
1,724,2022,2,Budget,1652.93,0,10017553,1652.93
1,725,2022,2,Budget,1665.63,0,10022732,1665.63
1,728,2022,2,Budget,1820.47,0,10016334,1820.47
1,729,2022,2,Budget,1863.41,0,10014469,1863.41
1,730,2022,2,Budget,1876.28,0,10026861,1876.28
1,731,2022,2,Budget,1998.38,0,10026560,1998.38
1,732,2022,2,Budget,2040.11,0,10020663,2040.11
1,733,2022,2,Budget,2120.23,0,10020927,2120.23
1,734,2022,2,Budget,2125.24,0,10014739,2125.24
1,735,2022,2,Budget,2136.22,0,10026078,2136.22
1,736,2022,2,Budget,2156.26,0,10010935,2156.26
1,737,2022,2,Budget,2385.3,0,10000472,2385.3
1,738,2022,2,Budget,2453.86,0,10025061,2453.86
1,740,2022,2,Budget,2564.56,0,10011997,2564.56
1,741,2022,2,Budget,2629.9,0,10018665,2629.9
1,742,2022,2,Budget,2695.43,0,10015275,2695.43
1,743,2022,2,Budget,2722.35,0,10010717,2722.35
1,744,2022,2,Budget,2724,0,10023235,2724
1,745,2022,2,Budget,2725.8,0,10000466,2725.8
1,746,2022,2,Budget,2734.4,0,10016045,2734.4
1,748,2022,2,Budget,2808,0,10021139,2808
1,750,2022,2,Budget,2978.01,0,10011981,2978.01
1,751,2022,2,Budget,3101.54,0,10021231,3101.54
1,753,2022,2,Budget,3172.27,0,10021996,3172.27
1,754,2022,2,Budget,3276.09,0,10017072,3276.09
1,758,2022,2,Budget,4118.4,0,10025583,4118.4
1,759,2022,2,Budget,4271.63,0,10019665,4271.63
1,760,2022,2,Budget,4319.69,0,10025560,4319.69
1,761,2022,2,Budget,4397.99,0,10021412,4397.99
1,763,2022,2,Budget,4504.26,0,10023447,4504.26
1,764,2022,2,Budget,4587.44,0,10006862,4587.44
1,766,2022,2,Budget,4784.92,0,10025049,4784.92
1,767,2022,2,Budget,4797.62,0,10025033,4797.62
