NoOfItem,MaxNoOfItem,Item-Branch Key,Order Number,DateKey
12,24,CR-10973,206912,38197
19,24,CR-10334,206912,38191
3,24,CR-10409,206912,38191
1,24,CR-10065,206912,38191
10,24,CR-10347,206912,38191
23,24,CR-10074,206912,38191
6,24,CR-10035,206912,38191
14,24,CR-10400,206912,38191
2,24,CR-10076,206912,38191
17,24,CR-10362,206912,38191
18,24,CR-10823,206912,38212
13,24,CR-10408,206912,38191
22,24,CR-10725,206912,38191
8,24,CR-10797,206912,38191
9,24,CR-10800,206912,38191
21,24,CR-10880,206912,38212
5,24,CR-11008,206912,38191
11,24,CR-10308,206912,38191
16,24,CR-10086,206912,38191
7,24,CR-10820,206912,38191
1,5,CR-10814,210249,38256
4,5,CR-10813,210249,38256
3,5,CR-10418,210249,38238
5,5,CR-10323,210249,38238
2,5,CR-10322,210249,38238
25,55,CR-10973,200273,38199
30,55,CR-10251,200273,38199
46,55,CR-10411,200273,38199
41,55,CR-10327,200273,38199
52,55,CR-10890,200273,38199
8,55,CR-10817,200273,38199
27,55,CR-10520,200273,38199
23,55,CR-10611,200273,38199
6,55,CR-10612,200273,38199
49,55,CR-10360,200273,38199
28,55,CR-10692,200273,38199
17,55,CR-10828,200273,38199
21,55,CR-10591,200273,38199
22,55,CR-10363,200273,38199
9,55,CR-10943,200273,38199
36,55,CR-10805,200273,38199
15,55,CR-10413,200273,38199
5,55,CR-10495,200273,38199
26,55,CR-10218,200273,38199
31,55,CR-10259,200273,38199
16,55,CR-10366,200273,38199
54,55,CR-10228,200273,38199
40,55,CR-10172,200273,38199
53,55,CR-10180,200273,38199
24,55,CR-10357,200273,38199
43,55,CR-10843,200273,38199
4,55,CR-10329,200273,38199
10,55,CR-10696,200273,38281
14,55,CR-10358,200273,38199
45,55,CR-10354,200273,38199
55,55,CR-10288,200273,38199
20,55,CR-10607,200273,38199
13,55,CR-10807,200273,38199
35,55,CR-10807,200273,38199
34,55,CR-10372,200273,38199
50,55,CR-10689,200273,38199
12,55,CR-10323,200273,38199
39,55,CR-10034,200273,38199
38,55,CR-10688,200273,38199
37,55,CR-10822,200273,38199
2,55,CR-10181,200273,38199
29,55,CR-10806,200273,38199
44,55,CR-10574,200273,38199
11,55,CR-10345,200273,38199
42,55,CR-10369,200273,38199
33,55,CR-10355,200273,38199
7,55,CR-10719,200273,38199
3,55,CR-10370,200273,38199
18,55,CR-10367,200273,38199
48,55,CR-10899,200273,38199
32,55,CR-10912,200273,38199
47,55,CR-10913,200273,38199
51,55,CR-10361,200273,38199
1,55,CR-10364,200273,38199
19,55,CR-10182,200273,38199
22,59,CR-10504,204505,38147
16,59,CR-10197,204505,38147
11,59,CR-10507,204505,38147
59,59,CR-10973,204505,38203
32,59,CR-10065,204505,38147
14,59,CR-10716,204505,38161
15,59,CR-10615,204505,38147
42,59,CR-10007,204505,38147
4,59,CR-10384,204505,38147
17,59,CR-10347,204505,38147
38,59,CR-10592,204505,38161
51,59,CR-10411,204505,38147
57,59,CR-10220,204505,38189
19,59,CR-10924,204505,38147
3,59,CR-10080,204505,38147
24,59,CR-10981,204505,38203
34,59,CR-10534,204505,38147
26,59,CR-10377,204505,38147
46,59,CR-10672,204505,38147
29,59,CR-10684,204505,38147
37,59,CR-10684,204505,38147
54,59,CR-10721,204505,38168
12,59,CR-10091,204505,38147
50,59,CR-10890,204505,38147
58,59,CR-10974,204505,38189
49,59,CR-10400,204505,38147
52,59,CR-10690,204505,38147
45,59,CR-10702,204505,38147
13,59,CR-10390,204505,38197
48,59,CR-10254,204505,38147
7,59,CR-10106,204505,38210
36,59,CR-10823,204505,38147
40,59,CR-10823,204505,38147
1,59,CR-10383,204505,38182
25,59,CR-10103,204505,38147
2,59,CR-10315,204505,38147
5,59,CR-10408,204505,38147
6,59,CR-10357,204505,38147
55,59,CR-10976,204505,38197
27,59,CR-10681,204505,38147
21,59,CR-10529,204505,38147
30,59,CR-10607,204505,38147
9,59,CR-10185,204505,38189
44,59,CR-10349,204505,38161
28,59,CR-10610,204505,38147
31,59,CR-10412,204505,38147
23,59,CR-10629,204505,38147
18,59,CR-10901,204505,38147
47,59,CR-10414,204505,38147
39,59,CR-10833,204505,38147
43,59,CR-10603,204505,38147
35,59,CR-10653,204505,38147
41,59,CR-10653,204505,38147
56,59,CR-10171,204505,38147
8,59,CR-10561,204505,38147
33,59,CR-10668,204505,38161
53,59,CR-10085,204505,38210
20,59,CR-10085,204505,38147
10,59,CR-10095,204505,38182
4,6,CR-11112,205798,38207
5,6,CR-10009,205798,38207
1,6,CR-10889,205798,38207
6,6,CR-10006,205798,38207
2,6,CR-10008,205798,38207
3,6,CR-10086,205798,38207
1,6,CR-11112,205797,38205
2,6,CR-10009,205797,38205
5,6,CR-10889,205797,38205
6,6,CR-10006,205797,38205
3,6,CR-10541,205797,38205
4,6,CR-10008,205797,38205
2,11,CR-10716,200924,38213
5,11,CR-10028,200924,38197
11,11,CR-10715,200924,38199
6,11,CR-10717,200924,38199
8,11,CR-10714,200924,38214
7,11,CR-10713,200924,38197
4,11,CR-10112,200924,38214
10,11,CR-10957,200924,38122
1,11,CR-10582,200924,38213
9,11,CR-10111,200924,38122
3,11,CR-10289,200924,38199
1,4,CR-10334,208478,38211
4,4,CR-10847,208478,38211
2,4,CR-10883,208478,38211
3,4,CR-10883,208478,38211
2,4,CR-10554,211804,38267
1,4,CR-10347,211804,38267
3,4,CR-10066,211804,38267
4,4,CR-10654,211804,38267
9,21,CR-10505,213090,38277
10,21,CR-10593,213090,38277
6,21,CR-10973,213090,38277
18,21,CR-10951,213090,38277
11,21,CR-10517,213090,38305
2,21,CR-10609,213090,38284
7,21,CR-10856,213090,38277
5,21,CR-10502,213090,38277
21,21,CR-10890,213090,38277
12,21,CR-10404,213090,38277
1,21,CR-10186,213090,38277
3,21,CR-10584,213090,38277
13,21,CR-10911,213090,38277
15,21,CR-10332,213090,38277
16,21,CR-10635,213090,38277
17,21,CR-10621,213090,38277
19,21,CR-10329,213090,38277
4,21,CR-10841,213090,38277
20,21,CR-10797,213090,38277
14,21,CR-10205,213090,38277
8,21,CR-10345,213090,38277
7,7,CR-10091,204473,38214
2,7,CR-10218,204473,38147
5,7,CR-10105,204473,38214
3,7,CR-10500,204473,38147
4,7,CR-10029,204473,38147
6,7,CR-10955,204473,38147
1,7,CR-10578,204473,38168
66,133,CR-10799,208476,38211
38,133,CR-10197,208476,38211
112,133,CR-10197,208476,38211
45,133,CR-10393,208476,38281
43,133,CR-10385,208476,38211
72,133,CR-10683,208476,38218
1,133,CR-10067,208476,38211
131,133,CR-10403,208476,38211
83,133,CR-10593,208476,38211
85,133,CR-10593,208476,38211
13,133,CR-10554,208476,38211
129,133,CR-10898,208476,38211
97,133,CR-10968,208476,38226
105,133,CR-10973,208476,38211
26,133,CR-10196,208476,38211
10,133,CR-10392,208476,38253
64,133,CR-10065,208476,38211
81,133,CR-10965,208476,38211
94,133,CR-10173,208476,38239
23,133,CR-10009,208476,38211
33,133,CR-10384,208476,38211
31,133,CR-10251,208476,38211
102,133,CR-10814,208476,38226
6,133,CR-10347,208476,38211
127,133,CR-10592,208476,38211
116,133,CR-10592,208476,38226
79,133,CR-10411,208476,38211
87,133,CR-10924,208476,38211
32,133,CR-10930,208476,38211
17,133,CR-10928,208476,38211
58,133,CR-10928,208476,38211
114,133,CR-10922,208476,38211
14,133,CR-10724,208476,38211
98,133,CR-10241,208476,38211
91,133,CR-10307,208476,38211
93,133,CR-10069,208476,38211
12,133,CR-10613,208476,38211
8,133,CR-10377,208476,38211
68,133,CR-10346,208476,38239
61,133,CR-10684,208476,38246
47,133,CR-10052,208476,38211
120,133,CR-10203,208476,38211
132,133,CR-10890,208476,38211
78,133,CR-10974,208476,38211
46,133,CR-10558,208476,38211
25,133,CR-10690,208476,38211
126,133,CR-10390,208476,38218
80,133,CR-10611,208476,38260
133,133,CR-10591,208476,38232
16,133,CR-10363,208476,38211
50,133,CR-10627,208476,38211
90,133,CR-10068,208476,38211
67,133,CR-10847,208476,38211
69,133,CR-10731,208476,38211
70,133,CR-10644,208476,38211
109,133,CR-10281,208476,38211
65,133,CR-10713,208476,38211
59,133,CR-10836,208476,38211
24,133,CR-10925,208476,38211
96,133,CR-10925,208476,38226
113,133,CR-10933,208476,38267
75,133,CR-10872,208476,38211
122,133,CR-10252,208476,38211
89,133,CR-10680,208476,38211
22,133,CR-10092,208476,38211
20,133,CR-10100,208476,38211
88,133,CR-10110,208476,38211
15,133,CR-10010,208476,38211
42,133,CR-10869,208476,38226
82,133,CR-10938,208476,38211
37,133,CR-10987,208476,38211
108,133,CR-10102,208476,38211
35,133,CR-10253,208476,38211
39,133,CR-10498,208476,38211
49,133,CR-10934,208476,38281
44,133,CR-10934,208476,38260
57,133,CR-10357,208476,38211
86,133,CR-10522,208476,38211
18,133,CR-10531,208476,38211
29,133,CR-10376,208476,38211
101,133,CR-10952,208476,38218
28,133,CR-10589,208476,38253
62,133,CR-10329,208476,38211
107,133,CR-10358,208476,38211
103,133,CR-10841,208476,38211
52,133,CR-10204,208476,38211
7,133,CR-10876,208476,38211
124,133,CR-10877,208476,38211
41,133,CR-10681,208476,38226
55,133,CR-10796,208476,38211
125,133,CR-10529,208476,38211
99,133,CR-10918,208476,38211
4,133,CR-10607,208476,38211
3,133,CR-10029,208476,38260
27,133,CR-10986,208476,38218
56,133,CR-10229,208476,38232
5,133,CR-10244,208476,38211
54,133,CR-10290,208476,38211
84,133,CR-10610,208476,38260
60,133,CR-10301,208476,38239
128,133,CR-10797,208476,38211
21,133,CR-10871,208476,38218
110,133,CR-10412,208476,38211
51,133,CR-10205,208476,38211
77,133,CR-10205,208476,38211
95,133,CR-10291,208476,38211
121,133,CR-10414,208476,38218
76,133,CR-10304,208476,38211
73,133,CR-10701,208476,38211
118,133,CR-10266,208476,38211
117,133,CR-11008,208476,38226
53,133,CR-10295,208476,38211
71,133,CR-10892,208476,38211
34,133,CR-10303,208476,38211
11,133,CR-10678,208476,38211
36,133,CR-10387,208476,38211
63,133,CR-10018,208476,38228
115,133,CR-10171,208476,38211
119,133,CR-10551,208476,38211
123,133,CR-10573,208476,38211
40,133,CR-10804,208476,38232
92,133,CR-11001,208476,38218
100,133,CR-11001,208476,38211
104,133,CR-10668,208476,38226
19,133,CR-10550,208476,38228
2,133,CR-10931,208476,38302
30,133,CR-10656,208476,38302
9,133,CR-10359,208476,38226
111,133,CR-10893,208476,38211
106,133,CR-10870,208476,38211
130,133,CR-10312,208476,38211
74,133,CR-10348,208476,38211
48,133,CR-10267,208476,38253
6,36,CR-10799,203299,38129
30,36,CR-10504,203299,38161
14,36,CR-10197,203299,38136
10,36,CR-10197,203299,38129
15,36,CR-10898,203299,38129
8,36,CR-10347,203299,38143
29,36,CR-10347,203299,38134
21,36,CR-10609,203299,38129
13,36,CR-10515,203299,38129
35,36,CR-10035,203299,38129
22,36,CR-10091,203299,38149
26,36,CR-10890,203299,38129
11,36,CR-10186,203299,38129
7,36,CR-10558,203299,38164
23,36,CR-10808,203299,38129
1,36,CR-10690,203299,38129
33,36,CR-10943,203299,38143
27,36,CR-10644,203299,38129
28,36,CR-10654,203299,38129
2,36,CR-10187,203299,38129
4,36,CR-10106,203299,38149
19,36,CR-10680,203299,38129
17,36,CR-10823,203299,38129
36,36,CR-10630,203299,38191
18,36,CR-10903,203299,38191
12,36,CR-10190,203299,38129
34,36,CR-10696,203299,38170
20,36,CR-10831,203299,38164
31,36,CR-10967,203299,38129
16,36,CR-10818,203299,38143
9,36,CR-10412,203299,38129
24,36,CR-10955,203299,38136
32,36,CR-10226,203299,38161
3,36,CR-10575,203299,38129
25,36,CR-10710,203299,38129
5,36,CR-10356,203299,38143
2,2,CR-10002,204469,38157
1,2,CR-10002,204469,38147
13,26,CR-10403,203286,38203
26,26,CR-10279,203286,38203
2,26,CR-10554,203286,38203
20,26,CR-10334,203286,38203
7,26,CR-10392,203286,38203
17,26,CR-10405,203286,38203
14,26,CR-10623,203286,38203
23,26,CR-10615,203286,38203
4,26,CR-10411,203286,38203
1,26,CR-10307,203286,38203
9,26,CR-10599,203286,38203
8,26,CR-10882,203286,38203
12,26,CR-10887,203286,38210
3,26,CR-10690,203286,38203
24,26,CR-10847,203286,38203
21,26,CR-10495,203286,38203
22,26,CR-10211,203286,38203
11,26,CR-10602,203286,38203
6,26,CR-10549,203286,38210
10,26,CR-10476,203286,38203
19,26,CR-10522,203286,38203
15,26,CR-10410,203286,38203
25,26,CR-10541,203286,38203
18,26,CR-10884,203286,38203
16,26,CR-10931,203286,38203
5,26,CR-10475,203286,38203
1,2,CR-10528,205760,38255
2,2,CR-10551,205760,38255
4,4,CR-10808,203276,38129
1,4,CR-10054,203276,38129
2,4,CR-10552,203276,38161
3,4,CR-10902,203276,38161
2,2,CR-10211,204440,38149
1,2,CR-10179,204440,38149
4,4,CR-10108,205746,38168
3,4,CR-10869,205746,38168
2,4,CR-10345,205746,38168
1,4,CR-10488,205746,38168
2,2,CR-10569,200235,38176
1,2,CR-10383,200235,38176
28,31,CR-10415,203268,38142
29,31,CR-10403,203268,38142
15,31,CR-10279,203268,38142
14,31,CR-10554,203268,38142
1,31,CR-10827,203268,38142
19,31,CR-10334,203268,38142
22,31,CR-10405,203268,38142
24,31,CR-10623,203268,38142
4,31,CR-10615,203268,38142
20,31,CR-10411,203268,38142
30,31,CR-10599,203268,38142
18,31,CR-10882,203268,38143
8,31,CR-10882,203268,38168
7,31,CR-10887,203268,38162
10,31,CR-10690,203268,38142
26,31,CR-10847,203268,38142
17,31,CR-10625,203268,38148
21,31,CR-10933,203268,38142
16,31,CR-10476,203268,38142
5,31,CR-10408,203268,38142
31,31,CR-10522,203268,38155
9,31,CR-10589,203268,38142
23,31,CR-10589,203268,38142
12,31,CR-10841,203268,38142
27,31,CR-10410,203268,38142
13,31,CR-10914,203268,38155
25,31,CR-10388,203268,38142
11,31,CR-10314,203268,38162
6,31,CR-10895,203268,38142
2,31,CR-10931,203268,38142
3,31,CR-10475,203268,38142
1,4,CR-10252,204428,38168
3,4,CR-10191,204428,38144
2,4,CR-10214,204428,38144
4,4,CR-10547,204428,38168
1,2,CR-10821,205738,38182
2,2,CR-11101,205738,38182
18,41,CR-10799,210192,38238
15,41,CR-10505,210192,38238
6,41,CR-10038,210192,38238
32,41,CR-10197,210192,38238
25,41,CR-10268,210192,38238
41,41,CR-10499,210192,38238
33,41,CR-10409,210192,38238
26,41,CR-10026,210192,38238
12,41,CR-10043,210192,38238
2,41,CR-10009,210192,38238
11,41,CR-10855,210192,38238
39,41,CR-10411,210192,38238
31,41,CR-10074,210192,38238
10,41,CR-10999,210192,38238
22,41,CR-10066,210192,38238
9,41,CR-10813,210192,38252
21,41,CR-10890,210192,38238
13,41,CR-10400,210192,38238
30,41,CR-10847,210192,38238
17,41,CR-10254,210192,38245
27,41,CR-10925,210192,38245
3,41,CR-10630,210192,38238
16,41,CR-10660,210192,38238
29,41,CR-10911,210192,38238
35,41,CR-10190,210192,38238
7,41,CR-10110,210192,38238
19,41,CR-10987,210192,38238
1,41,CR-10841,210192,38238
36,41,CR-10016,210192,38238
37,41,CR-10976,210192,38238
20,41,CR-10796,210192,38238
4,41,CR-10109,210192,38238
5,41,CR-10501,210192,38238
24,41,CR-10880,210192,38238
34,41,CR-10179,210192,38238
38,41,CR-10319,210192,38238
8,41,CR-10810,210192,38238
28,41,CR-10718,210192,38238
23,41,CR-10883,210192,38238
40,41,CR-10578,210192,38238
14,41,CR-10984,210192,38238
1,1,CR-10385,205730,38169
30,54,CR-10593,211777,38259
41,54,CR-10279,211777,38259
19,54,CR-10409,211777,38266
25,54,CR-10094,211777,38259
12,54,CR-10930,211777,38266
16,54,CR-10930,211777,38259
33,54,CR-10821,211777,38287
50,54,CR-10981,211777,38259
39,54,CR-10813,211777,38259
48,54,CR-10684,211777,38259
15,54,CR-10502,211777,38259
3,54,CR-10489,211777,38259
7,54,CR-10520,211777,38259
8,54,CR-10390,211777,38259
29,54,CR-10254,211777,38259
49,54,CR-10281,211777,38259
36,54,CR-10949,211777,38259
54,54,CR-10106,211777,38259
51,54,CR-10602,211777,38266
17,54,CR-10252,211777,38259
35,54,CR-10092,211777,38259
47,54,CR-10194,211777,38259
40,54,CR-10294,211777,38259
1,54,CR-10823,211777,38259
44,54,CR-10911,211777,38290
34,54,CR-10942,211777,38259
22,54,CR-10100,211777,38266
9,54,CR-10100,211777,38259
52,54,CR-10010,211777,38259
5,54,CR-10987,211777,38259
14,54,CR-10950,211777,38259
20,54,CR-10102,211777,38259
42,54,CR-10900,211777,38259
6,54,CR-10908,211777,38259
13,54,CR-10562,211777,38259
28,54,CR-10859,211777,38259
46,54,CR-10859,211777,38259
45,54,CR-10395,211777,38259
43,54,CR-10388,211777,38259
24,54,CR-10378,211777,38259
2,54,CR-10598,211777,38259
23,54,CR-10685,211777,38259
38,54,CR-10291,211777,38273
53,54,CR-10857,211777,38259
18,54,CR-10530,211777,38259
27,54,CR-10171,211777,38259
32,54,CR-10723,211777,38273
37,54,CR-10895,211777,38259
10,54,CR-10931,211777,38266
21,54,CR-10931,211777,38301
4,54,CR-10734,211777,38259
31,54,CR-10359,211777,38259
26,54,CR-10893,211777,38266
11,54,CR-10870,211777,38259
2,3,CR-10599,203259,38127
1,3,CR-10315,203259,38127
3,3,CR-10857,203259,38127
3,20,CR-10385,200183,38161
17,20,CR-10592,200183,38161
10,20,CR-10924,200183,38161
20,20,CR-10069,200183,38161
8,20,CR-10856,200183,38161
16,20,CR-10981,200183,38161
7,20,CR-10588,200183,38161
1,20,CR-10925,200183,38161
12,20,CR-10194,200183,38161
2,20,CR-10190,200183,38161
19,20,CR-10253,200183,38161
18,20,CR-10934,200183,38161
14,20,CR-10860,200183,38161
11,20,CR-10877,200183,38161
6,20,CR-10176,200183,38161
13,20,CR-10818,200183,38161
9,20,CR-10830,200183,38161
5,20,CR-10668,200183,38161
15,20,CR-10536,200183,38161
4,20,CR-10215,200183,38161
13,89,CR-10799,208391,38211
44,89,CR-10038,208391,38211
16,89,CR-10854,208391,38232
51,89,CR-10683,208391,38211
86,89,CR-10067,208391,38211
66,89,CR-10565,208391,38211
34,89,CR-10492,208391,38260
46,89,CR-10554,208391,38211
1,89,CR-10827,208391,38211
42,89,CR-10898,208391,38211
74,89,CR-10968,208391,38225
81,89,CR-10973,208391,38225
89,89,CR-10405,208391,38211
14,89,CR-10409,208391,38211
65,89,CR-10065,208391,38211
21,89,CR-10099,208391,38211
54,89,CR-10716,208391,38211
41,89,CR-10093,208391,38211
35,89,CR-10078,208391,38211
60,89,CR-10251,208391,38211
17,89,CR-10347,208391,38211
10,89,CR-10592,208391,38211
