Order Number,Address Number Header,Order Gross Amount,Order Type Header,Business Unit Order Header,Order Date Header,Hold Orders Code Header,Company Number Header,Stop Code Header,Zone Code Header,Hold Code Header,Ship To Address Header,Parent Address Number Header,Orderby Header,Freight Code Header
311966,10000466,258.21,SO,CR,103267,  ,00001,DS,   ,  ,63850,63850,MARSHALL,4
310378,10020639,106.29,SO,CR,103245,  ,00001,DS,   ,  ,100930,73970,TIM,4
309433,10016784,506.32,SO,CR,103228,  ,00001,DS,   ,  ,100866,2714,STEVE,4
310772,10010974,0,SO,CR,103249,  ,00001,DS,   ,  ,71700,71700,RICH,3
314678,10010974,0,SO,CR,103303,  ,00001,   ,   ,  ,71700,71700,ZAKIYAH,3
313581,10023471,392.9,SO,PC,103289,  ,00001,   ,   ,  ,61620,61620,          ,2
310570,10010974,0,SO,CR,103247,  ,00001,DS,   ,  ,71700,71700,          ,3
308052,10010974,0,SO,CR,103210,  ,00001,DS,   ,  ,71700,71700,RICH,3
308239,10025238,151.66,SO,CR,103213,  ,00001,DS,   ,  ,101242,101564,          ,4
311570,10010974,0,SO,CR,103261,  ,00001,   ,   ,  ,71700,71700,          ,3
307466,10027381,41.18,SO,CR,103199,  ,00001,   ,   ,  ,100966,65800,          ,6
309627,10020915,69.46,SO,CR,103232,  ,00001,DS,   ,  ,2050,2050,          ,4
311761,10016784,81.64,SO,CR,103263,  ,00001,DS,   ,  ,100866,2714,EDNA,4
306470,10010974,0,SO,CR,103185,  ,00001,   ,   ,  ,71700,71700,          ,3
310969,10010974,0,SO,CR,103253,  ,00001,DS,   ,  ,71700,71700,TIM LUND,3
306271,10025269,0,SO,CR,103183,  ,00001,DS,   ,  ,101599,101564,          ,3
305485,10025302,574.91,SO,CR,103168,  ,00001,   ,   ,  ,58940,58940,GEOFFREY,4
306663,10020639,31.86,SO,CR,103189,  ,00001,   ,   ,  ,101099,73970,SCOTT,4
305083,10010974,0,SO,CR,103161,  ,00001,   ,   ,  ,71700,71700,MIKE/STUFF,3
302509,10019909,762.25,SO,CR,103120,  ,00001,   ,   ,  ,58188,101562,CHRIS L.,4
301915,10026522,117.23,SO,CR,103113,  ,00001,   ,   ,  ,100742,31385,          ,6
305286,10010974,0,SO,CR,103163,  ,00001,   ,   ,  ,71700,71700,          ,3
300777,10019678,441.2,SO,CR,102323,  ,00001,   ,   ,  ,101417,72630,          ,4
300228,10020192,0,CO,CR,103177,  ,00001,   ,   ,  ,101492,101552,RETURNS,   
303301,10008134,52.77,SO,CR,103133,  ,00001,   ,   ,  ,46760,101560,PURCHASING,4
313580,10023471,392.9,SO,PC,103289,  ,00001,   ,   ,  ,61620,61620,          ,2
303507,10023471,405,SO,PC,103135,  ,00001,   ,   ,  ,61620,61620,          ,2
312160,10009907,319.85,SO,CR,103269,  ,00001,DS,   ,  ,93790,93790,          ,4
303705,10021203,7080.22,SO,CR,103137,  ,00001,   ,   ,  ,101088,244,          ,3
312554,10023471,392.9,SO,PC,103275,  ,00001,   ,   ,  ,61620,61620,          ,2
313158,10010974,0,SO,CR,103283,  ,00001,DS,   ,  ,71700,71700,RETURNS,3
315132,10010974,0,SO,CR,103310,  ,00001,DS,   ,  ,71700,71700,          ,3
301299,10024270,239.88,SO,CR,103087,  ,00001,   ,   ,  ,18267,18267,          ,4
300456,10025037,0,CO,CR,103245,  ,00001,   ,   ,  ,36000,36000,RETURNS,   
312953,10020388,771.51,SO,CR,103281,  ,00001,   ,   ,  ,58190,101562,ANDY,4
314444,10026299,125.15,SO,CR,103301,  ,00001,DS,   ,  ,100849,101551,          ,2
310188,10019909,803.78,SO,CR,103241,  ,00001,   ,   ,  ,58188,101562,ED,4
308051,10018890,156.81,SO,CR,103210,  ,00001,   ,   ,  ,93331,93331,KMH,6
305879,10025248,51.41,SO,CR,103172,  ,00001,   ,   ,  ,21370,21370,          ,3
309432,10017314,944.6,SO,CR,103228,  ,00001,DS,   ,  ,101070,79420,          ,4
309626,10009662,69.19,SO,CR,103232,  ,00001,DS,   ,  ,256,256,DEE,2
306076,10026299,52.18,SO,CR,103177,  ,00001,DS,   ,  ,100849,101551,          ,2
304494,10012226,322,SO,CR,103150,  ,00001,   ,   ,  ,358,358,LORI,3
306662,10010974,0,SO,CR,103189,  ,00001,   ,   ,  ,71700,71700,          ,3
304294,10010974,0,SO,CR,103148,  ,00001,   ,   ,  ,71700,71700,          ,3
310004,10025291,57.43,SO,CR,103239,  ,00001,DS,   ,  ,310,310,GARY,2
302508,10020915,10.27,SO,CR,103120,  ,00001,   ,   ,  ,2050,2050,          ,4
302123,10017576,215.44,SO,CR,103115,  ,00001,   ,   ,  ,101086,578,PURCHASING,3
303100,10007123,475.48,SO,CR,103128,  ,00001,   ,   ,  ,60700,60700,NINA,4
303506,10022490,241.88,SO,CR,103135,  ,00001,   ,   ,  ,577,577,          ,4
300399,10018871,0,CO,CR,103224,  ,00001,   ,   ,  ,100932,238,RMA 210577,   
301914,10010974,0,SO,CR,103113,  ,00001,   ,   ,  ,71700,71700,          ,3
305484,10017638,157.99,SO,CR,103168,  ,00001,DS,   ,  ,101264,101559,SALLY,4
313788,10010974,0,SO,CR,103291,  ,00001,DS,   ,  ,71700,71700,          ,3
309625,10010974,0,SO,CR,103232,  ,00001,DS,   ,  ,71700,71700,          ,3
301725,10026299,178.44,SO,CR,103108,  ,00001,DS,   ,  ,100849,101551,          ,2
305082,10026299,70.03,SO,CR,103161,  ,00001,DS,   ,  ,100849,101551,PURCHASING,2
310967,10010974,0,SO,CR,103253,  ,00001,DS,   ,  ,71700,71700,          ,3
314443,10026299,12.83,SO,CR,103301,  ,00001,DS,   ,  ,100849,101551,          ,2
309010,10025778,80.78,SO,CR,103224,  ,00001,DS,   ,  ,101578,101548,PURCHASING,4
311568,10015275,141.39,SO,CR,103261,  ,00001,DS,   ,  ,100778,85520,KEVIN,4
306269,10020663,0,SO,CR,103183,  ,00001,DS,   ,  ,79950,79950,          ,3
306881,10010974,0,SO,CR,103191,  ,00001,DS,   ,  ,71700,71700,          ,6
308824,10015824,38.71,SO,CR,103220,  ,00001,   ,   ,  ,564,564,PURCHASING,4
306075,10010974,0,SO,CR,103177,  ,00001,DS,   ,  ,71700,71700,          ,3
305284,10026522,76.84,SO,CR,103163,  ,00001,   ,   ,  ,100742,31385,RICH,4
306661,10010974,0,SO,CR,103189,  ,00001,DS,   ,  ,71700,71700,PHONE,3
302900,10027381,11.12,SO,CR,103126,  ,00001,   ,   ,  ,100966,65800,          ,6
304888,10022490,106.12,SO,CR,103156,  ,00001,   ,   ,  ,577,577,KEVIN,4
306468,10024022,308.87,SO,CR,103185,  ,00001,DS,   ,  ,101015,12020,          ,4
302312,10026299,70.03,SO,CR,103119,  ,00001,DS,   ,  ,100849,101551,          ,2
301913,10020663,705.89,SO,CR,103113,  ,00001,   ,   ,  ,79950,79950,          ,3
302507,10020915,52.57,SO,CR,103120,  ,00001,   ,   ,  ,2050,2050,          ,4
303505,10023471,1294.62,SO,PC,103135,  ,00001,   ,   ,  ,61620,61620,          ,2
302122,10017638,73.24,SO,CR,103115,  ,00001,   ,   ,  ,101415,101559,MARY,2
300775,10024270,47.04,SO,CR,102312,  ,00001,   ,   ,  ,18267,18267,          ,4
314674,10020639,117.89,SO,CR,103303,  ,00001,DS,   ,  ,100930,73970,EDGLE,4
314442,10026299,176.91,SO,CR,103301,  ,00001,DS,   ,  ,100849,101551,          ,4
315130,10025264,182.86,SO,CR,103310,  ,00001,   ,   ,  ,100905,23,JOHN,4
313998,10018890,0,SO,CR,103295,  ,00001,DS,   ,  ,93331,93331,TROY,3
313577,10023471,392.9,SO,PC,103289,  ,00001,   ,   ,  ,61620,61620,          ,2
313360,10014495,1212.52,SO,CR,103287,  ,00001,DS,   ,  ,79380,79380,          ,4
309009,10023489,67.13,SO,CR,103224,  ,00001,   ,   ,  ,13365,101552,PURCHASING,6
312552,10023471,392.9,SO,PC,103275,  ,00001,   ,   ,  ,61620,61620,          ,2
308823,10025771,330.91,SO,CR,103220,  ,00001,   ,   ,  ,100790,554,DARRELL,6
312348,10002746,1148.42,SO,CR,103273,  ,00001,   ,   ,  ,601,601,SANDRA,2
308049,10010974,0,SO,CR,103210,  ,00001,   ,   ,  ,71700,71700,MEL P.,3
311363,10025037,459.28,SO,CR,103259,  ,00001,   ,   ,  ,36000,36000,TRAE,4
308236,10010974,0,SO,CR,103213,  ,00001,   ,   ,  ,71700,71700,          ,3
306268,10019909,25.12,SO,CR,103183,  ,00001,   ,   ,  ,58188,101562,FAX,4
304688,10026299,66.09,SO,CR,103154,  ,00001,DS,   ,  ,100849,101551,          ,2
305080,10017828,0,SO,CR,103161,  ,00001,   ,   ,  ,567,567,          ,3
303702,10021459,877.61,SO,CR,103137,  ,00001,   ,   ,  ,55,55,E-MAIL,4
303504,10019150,271.21,SO,CR,103135,  ,00001,   ,   ,  ,27450,27450,          ,4
303901,10023471,47326.42,SO,PC,103142,  ,00001,   ,   ,  ,61620,61620,          ,2
305283,10022490,1241.06,SO,CR,103163,  ,00001,   ,   ,  ,577,577,TRACY,4
304292,10017638,27.36,SO,CR,103148,  ,00001,DS,   ,  ,101415,101559,MARY,4
303298,10010974,0,SO,CR,103133,  ,00001,   ,   ,  ,71700,71700,SHANNON,3
301912,10005006,116.02,SO,CR,103113,  ,00001,   ,   ,  ,100710,39400,          ,3
313576,10010974,0,SO,CR,103289,  ,00001,   ,   ,  ,71700,71700,          ,3
314889,10015275,506.41,SO,CR,103308,  ,00001,DS,   ,  ,100778,85520,          ,4
313997,10025495,613.58,SO,CR,103295,  ,00001,   ,   ,  ,82050,101566,          ,4
314224,10014810,604.88,SO,CR,103297,  ,00001,   ,   ,  ,1400,1400,          ,3
315453,10026299,12.83,SO,CR,103315,  ,00001,DS,   ,  ,100849,101551,          ,2
301723,10026299,277.54,SO,CR,103108,  ,00001,DS,   ,  ,100849,101551,          ,2
308048,10010974,0,SO,CR,103210,  ,00001,DS,   ,  ,71700,71700,          ,3
308431,10026299,1071.61,SO,CR,103217,  ,00001,DS,   ,  ,100849,101551,          ,2
301296,10024270,239.88,SO,CR,103087,  ,00001,   ,   ,  ,18267,18267,          ,4
305079,10019150,135.19,SO,CR,103161,  ,00001,   ,   ,  ,27450,27450,PURCHASING,3
311170,10024248,89.81,SO,CR,103255,  ,00001,DS,   ,  ,14466,101554,          ,2
305678,10020639,160.73,SO,CR,103170,  ,00001,DS,   ,  ,100930,73970,EDGEL,4
312950,10010974,0,SO,CR,103281,  ,00001,DS,   ,  ,71700,71700,          ,3
306267,10015275,18.39,SO,CR,103183,  ,00001,DS,   ,  ,100778,85520,FAX,4
309809,10019388,994.34,SO,CR,103234,  ,00001,DS,   ,  ,148,148,          ,4
304491,10024725,35057.11,SO,CR,103150,  ,00001,   ,   ,  ,97690,97690,FAX,   
305482,10027572,219.04,SO,CR,103168,  ,00001,   ,   ,  ,101323,1600,KRISTIN,4
302505,10019909,227.74,SO,CR,103120,  ,00001,   ,   ,  ,58188,101562,CHRIS L.,4
303701,10025284,0,SO,CR,103137,  ,00001,   ,   ,  ,62860,62860,HERB,3
301911,10010974,107.62,SO,CR,103113,  ,00001,   ,   ,  ,71700,71700,          ,3
313575,10024270,23695.99,SO,CR,103289,  ,00001,   ,   ,  ,18267,18267,FAX,4
301295,10026299,76.18,SO,CR,103087,  ,00001,   ,   ,  ,100849,42,          ,3
307462,10026299,114.92,SO,CR,103199,  ,00001,DS,   ,  ,100849,101551,          ,2
315451,10006805,0,SO,CR,103315,  ,00001,   ,   ,  ,99921,99921,          ,3
305282,10021203,110.57,SO,CR,103163,  ,00001,DS,   ,  ,100722,244,          ,4
304291,10007566,1492.43,SO,CR,103148,  ,00001,   ,   ,  ,101224,101556,GARY,4
311756,10010974,0,SO,CR,103263,  ,00001,DS,   ,  ,71700,71700,          ,3
314223,10024022,196.04,SO,CR,103297,  ,00001,DS,   ,  ,101015,12020,CASSIE,4
301080,10019150,174.48,SO,CR,103063,  ,00001,   ,   ,  ,27450,27450,          ,3
301509,10013188,98.51,SO,CR,103101,  ,00001,   ,   ,  ,99994,99994,          ,3
313154,10026299,61.62,SO,CR,103283,  ,00001,DS,   ,  ,100849,101551,          ,2
310000,10023760,59.93,SO,CR,103239,  ,00001,DS,   ,  ,61235,61235,PURCHASING,4
310372,10022750,39.06,SO,CR,103245,  ,00001,DS,   ,  ,91900,91900,PURCHASING,4
313358,10017576,141.29,SO,CR,103287,  ,00001,DS,   ,  ,101086,578,RAY,4
308046,10025778,296.74,SO,CR,103210,  ,00001,DS,   ,  ,101578,101548,          ,4
313785,10018628,116.54,SO,CR,103291,  ,00001,   ,   ,  ,96900,96900,RHONDA,4
314672,10015275,68.92,SO,CR,103303,  ,00001,DS,   ,  ,100778,85520,LORI,4
303899,10008381,91198.66,SO,CR,103142,  ,00001,   ,   ,  ,70635,70635,          ,3
305876,10027572,101.05,SO,CR,103172,  ,00001,   ,   ,  ,101323,1600,KRISTIN,4
308430,10021936,0,SO,CR,103217,  ,00001,   ,   ,  ,194,194,PHONE,3
309808,10010974,0,SO,CR,103234,  ,00001,DS,   ,  ,71700,71700,          ,3
309427,10010974,0,SO,CR,103228,  ,00001,DS,   ,  ,71700,71700,          ,3
305281,10021203,118.37,SO,CR,103163,  ,00001,   ,   ,  ,100722,244,          ,   
309213,10019150,35.8,SO,CR,103226,  ,00001,DS,   ,  ,27450,27450,SIMON,4
306878,10009907,38.6,SO,CR,103191,  ,00001,DS,   ,  ,93790,93790,          ,4
305078,10011198,3898.21,SO,CR,103161,  ,00001,   ,   ,  ,64405,64405,          ,4
306465,10016564,325.16,SO,CR,103185,  ,00001,   ,   ,  ,46,46,JOHN,4
303502,10026291,97.79,SO,CR,103135,  ,00001,   ,   ,  ,101670,76,FAX,3
310766,10010974,0,SO,CR,103249,  ,00001,DS,   ,  ,71700,71700,          ,3
304490,10017638,127.4,SO,CR,103150,  ,00001,   ,   ,  ,101415,101559,MARY,2
302119,10027381,11.26,SO,CR,103115,  ,00001,   ,   ,  ,100966,65800,          ,6
313153,10010974,0,SO,CR,103283,  ,00001,   ,   ,  ,71700,71700,          ,3
304686,10015275,127.45,SO,CR,103154,  ,00001,   ,   ,  ,100778,85520,DAVID,3
303095,10018890,118.59,SO,CR,103128,  ,00001,   ,   ,  ,93331,93331,WALK-IN,6
300772,10020413,10744.75,SO,CR,102295,  ,00001,   ,   ,  ,596,596,          ,3
301294,10000472,47.12,SO,CR,103087,  ,00001,   ,   ,  ,59600,59600,          ,3
314671,10019678,181.27,SO,CR,103303,  ,00001,   ,   ,  ,101417,72630,          ,4
301079,10019678,0,SO,CR,103063,  ,00001,   ,   ,  ,101417,72630,          ,4
310765,10026581,820.28,SO,CR,103249,  ,00001,   ,   ,  ,101195,3520,PURCHASING,4
303296,10017314,94.55,SO,CR,103133,  ,00001,DS,   ,  ,100819,79420,TONY,   
309807,10010974,0,SO,CR,103234,  ,00001,   ,   ,  ,71700,71700,          ,3
300154,10019150,0,CO,CR,103158,  ,00001,DS,   ,  ,27450,27450,          ,   
309008,10010974,0,SO,CR,103224,  ,00001,   ,   ,  ,71700,71700,          ,3
312741,10009156,163.68,SO,CR,103277,  ,00001,   ,   ,  ,101155,56490,BRET,4
301910,10020915,547.36,SO,CR,103113,  ,00001,   ,   ,  ,2050,2050,          ,4
308429,10023241,4379.28,SO,CR,103217,  ,00001,   ,   ,  ,526,526,AMBER,3
307267,10020192,86.33,SO,CR,103197,  ,00001,   ,   ,  ,101492,101552,PURCHASING,6
310371,10027575,1911.52,SO,CR,103245,  ,00001,DS,   ,  ,523,523,MARK,4
313784,10009662,69.19,SO,CR,103291,  ,00001,   ,   ,  ,256,256,DEE,2
309212,10019909,220.85,SO,CR,103226,  ,00001,   ,   ,  ,58188,101562,CHRIS,4
308045,10025238,59.07,SO,CR,103210,  ,00001,DS,   ,  ,101242,101564,          ,4
309620,10017638,191.82,SO,CR,103232,  ,00001,DS,   ,  ,101415,101559,SALLY,2
309007,10010974,0,SO,CR,103224,  ,00001,DS,   ,  ,71700,71700,          ,3
302309,10010974,0,SO,CR,103119,  ,00001,   ,   ,  ,71700,71700,          ,3
308233,10025039,0,SO,CR,103213,  ,00001,   ,   ,  ,101430,353,E-MAIL,2
310963,10010974,0,SO,CR,103253,  ,00001,   ,   ,  ,71700,71700,JOSE,3
312947,10024248,35.96,SO,CR,103281,  ,00001,   ,   ,  ,102352,101554,          ,2
313573,10010974,0,SO,CR,103289,  ,00001,DS,   ,  ,71700,71700,          ,3
304883,10014779,90.87,SO,CR,103156,  ,00001,   ,   ,  ,101672,12200,          ,3
305280,10023516,36.24,SO,CR,103163,  ,00001,   ,   ,  ,101313,35695,LYLE,4
311359,10002746,289.67,SO,CR,103259,  ,00001,   ,   ,  ,601,601,PURCHASING,2
306265,10010974,0,SO,CR,103183,  ,00001,DS,   ,  ,71700,71700,PATRICK,3
304685,10019150,174.37,SO,CR,103154,  ,00001,   ,   ,  ,27450,27450,SIMON,4
308618,10010974,0,SO,CR,103218,  ,00001,   ,   ,  ,71700,71700,          ,3
307460,10026299,144.06,SO,CR,103199,  ,00001,DS,   ,  ,100849,101551,          ,2
302503,10020915,6186.96,SO,CR,103120,  ,00001,   ,   ,  ,2050,2050,          ,2
301909,10024246,4984,SO,CR,103113,  ,00001,   ,   ,  ,13900,13900,          ,2
302308,10008593,19546.44,SO,CR,103119,  ,00001,   ,   ,  ,312,312,FAX,3
303295,10007355,51.34,SO,CR,103133,  ,00001,DS,   ,  ,535,535,RAY,4
311958,10027575,2301.25,SO,CR,103267,  ,00001,   ,   ,  ,523,523,PURCHASING,4
315125,10010974,0,SO,CR,103310,  ,00001,DS,   ,  ,71700,71700,          ,3
305875,10019942,175.91,SO,CR,103172,  ,00001,DS,   ,  ,101154,101548,          ,4
303094,10019942,477.32,SO,CR,103128,  ,00001,DS,   ,  ,101172,101548,          ,4
318792,10020639,118.22,SO,CR,103031,  ,00001,DS,   ,  ,100930,73970,BILLY,4
314886,10020639,787.19,SO,CR,103308,  ,00001,   ,   ,  ,101099,73970,SCOTT,4
311358,10024022,0,SO,CR,103259,  ,00001,DS,   ,  ,101015,12020,PURCHASING,3
313356,10026299,12.03,SO,CR,103287,  ,00001,DS,   ,  ,100849,101551,          ,2
318951,10021203,172.65,SO,CR,103035,  ,00001,   ,   ,  ,100836,244,          ,3
301507,10021203,269.96,SO,CR,103101,  ,00001,DS,   ,  ,100809,244,          ,4
312548,10010974,0,SO,CR,103275,  ,00001,DS,   ,  ,71700,71700,          ,3
309425,10026843,3185.05,SO,CR,103228,  ,00001,   ,   ,  ,428,428,          ,3
309619,10020639,188.6,SO,CR,103232,  ,00001,   ,   ,  ,101183,73970,GORDON,4
308428,10009662,1148.41,SO,CR,103217,  ,00001,DS,   ,  ,256,256,DEE W.,2
313572,10010974,0,SO,CR,103289,  ,00001,DS,   ,  ,71700,71700,          ,3
309006,10010974,0,SO,CR,103224,  ,00001,   ,   ,  ,71700,71700,          ,3
312154,10019150,221.29,SO,CR,103269,  ,00001,   ,   ,  ,27450,27450,          ,4
308044,10025238,62.82,SO,CR,103210,  ,00001,DS,   ,  ,101242,101564,          ,4
300063,10010974,0,CO,CR,103126,  ,00001,   ,   ,  ,71700,71700,          ,   
310563,10026299,43.24,SO,CR,103247,  ,00001,DS,   ,  ,100849,101551,PURCHASING,4
303698,10009654,97.51,SO,CR,103137,  ,00001,   ,   ,  ,328,328,          ,3
303896,10010974,0,SO,CR,103142,  ,00001,   ,   ,  ,71700,71700,          ,3
304882,10020663,27.67,SO,CR,103156,  ,00001,DS,   ,  ,79950,79950,          ,4
308819,10010974,0,SO,CR,103220,  ,00001,   ,   ,  ,71700,71700,          ,3
304288,10015793,620.59,SO,CR,103148,  ,00001,   ,   ,  ,100877,291,BRANDON,4
307654,10017638,0,SO,CR,103204,  ,00001,DS,   ,  ,101415,101559,JOHN K.,3
303500,10025769,37.01,SO,CR,103135,  ,00001,   ,   ,  ,100804,37,TERRY,4
307459,10002765,37,SO,CR,103199,  ,00001,DS,   ,  ,402,402,          ,3
305279,10025583,249.17,SO,CR,103163,  ,00001,   ,   ,  ,598,598,          ,4
303294,10010974,0,SO,CR,103133,  ,00001,   ,   ,  ,71700,71700,          ,3
307851,10021203,220.29,SO,CR,103206,  ,00001,DS,   ,  ,101713,244,PAM,4
305076,10010974,0,SO,CR,103161,  ,00001,   ,   ,  ,71700,71700,          ,3
301077,10002240,270.72,SO,CR,103060,  ,00001,   ,   ,  ,100951,4178,          ,3
305675,10010974,0,SO,CR,103170,  ,00001,   ,   ,  ,71700,71700,LAVO,3
300225,10018890,0,CO,CR,103177,  ,00001,   ,   ,  ,93331,93331,          ,   
313151,10025248,2597.5,SO,CR,103283,  ,00001,   ,   ,  ,21370,21370,          ,3
314885,10021203,68.98,SO,CR,103308,  ,00001,DS,   ,  ,101713,244,          ,4
305874,10019942,5.13,SO,CR,103172,  ,00001,DS,   ,  ,100876,101548,          ,4
302502,10020909,123.32,SO,CR,103120,  ,00001,DS,   ,  ,100904,101564,          ,4
315124,10010974,0,SO,CR,103310,  ,00001,DS,   ,  ,71700,71700,PHONE,3
301908,10010974,0,SO,CR,103113,  ,00001,   ,   ,  ,71700,71700,          ,3
301719,10010974,0,SO,CR,103108,  ,00001,   ,   ,  ,71700,71700,          ,3
301292,10025515,128.79,SO,CR,103087,  ,00001,   ,   ,  ,79500,79500,          ,3
313782,10010974,0,SO,CR,103291,  ,00001,   ,   ,  ,71700,71700,ROB,6
312343,10010974,0,SO,CR,103273,  ,00001,   ,   ,  ,71700,71700,          ,3
311957,10024725,7058.7,SO,CR,103267,  ,00001,   ,   ,  ,97690,97690,          ,3
309618,10021936,173.36,SO,CR,103232,  ,00001,   ,   ,  ,194,194,PURCHASING,3
309210,10021145,788.9,SO,CR,103226,  ,00001,   ,   ,  ,102140,102140,          ,4
308231,10010974,0,SO,CR,103213,  ,00001,   ,   ,  ,71700,71700,          ,3
306875,10025296,488.18,SO,CR,103191,  ,00001,   ,   ,  ,557,557,FAX,3
308818,10020639,950.85,SO,CR,103220,  ,00001,DS,   ,  ,100930,73970,EDGEL,4
306655,10026522,104.49,SO,CR,103189,  ,00001,   ,   ,  ,100742,31385,          ,6
310562,10025037,45,SO,CR,103247,  ,00001,DS,   ,  ,36000,36000,TRAE,4
304881,10020663,40.71,SO,CR,103156,  ,00001,DS,   ,  ,79950,79950,          ,4
304487,10024022,33.16,SO,CR,103150,  ,00001,DS,   ,  ,101015,12020,CASSIE E.,4
308616,10007566,74.89,SO,CR,103218,  ,00001,   ,   ,  ,101224,101556,PAULA,4
302894,10013765,287.07,SO,CR,103126,  ,00001,   ,   ,  ,101688,94395,          ,   
304683,10026299,90.42,SO,CR,103154,  ,00001,DS,   ,  ,100849,101551,          ,4
305873,10026299,12.44,SO,CR,103172,  ,00001,DS,   ,  ,100849,101551,          ,2
303092,10025778,50.3,SO,CR,103128,  ,00001,DS,   ,  ,101578,101548,          ,4
300394,10024725,0,CO,CR,103221,  ,00001,   ,   ,  ,97690,97690,RMA 210994,   
303499,10007122,133.8,SO,CR,103135,  ,00001,DS,   ,  ,100802,50,DAVE H.,4
307653,10019909,368.04,SO,CR,103204,  ,00001,   ,   ,  ,58188,101562,CHRIS L.,4
302501,10009631,0,SO,CR,103120,  ,00001,   ,   ,  ,101726,101726,          ,3
308043,10020927,10708.49,SO,CR,103210,  ,00001,   ,   ,  ,101324,580,FAX,3
302306,10008593,30391.49,SO,CR,103119,  ,00001,   ,   ,  ,312,312,FAX,3
300770,10019109,93750,SO,CR,102232,  ,00001,   ,   ,  ,68735,68735,          ,3
303895,10010974,0,SO,CR,103142,  ,00001,   ,   ,  ,71700,71700,          ,3
305478,10010974,0,SO,CR,103168,  ,00001,   ,   ,  ,71700,71700,          ,3
301290,10020639,130.98,SO,CR,103087,  ,00001,   ,   ,  ,101099,73970,          ,4
307066,10026299,114.92,SO,CR,103193,  ,00001,DS,   ,  ,100849,101551,          ,2
