AggKey,YTD Sales Amount,LY YTD Sales Amount,TM Sales Amount,LY TM Sales Amount,LY Tot Sales Amount,YTD Sales Margin Amount,LY YTD Sales Margin Amount,TM Sales Margin Amount,LY TM Sales Margin Amount,LY Tot Sales Margin Amount,Current Open Amount,Current BackOrder Amount,Current Backlog Amount
108-10025919-36016,$0,$110,$0,$22,$175,$0,$78,$0,$16,$125,0,0,0
108-10025919-63253,$0,"$15,122",$0,"$3,254","$55,993",$0,"$7,786",$0,"$1,604","$27,555",765.66,765.66,0
108-10025919-1z9483440345589132,$0,$0,$0,$0,$17,$0,$0,$0,$0,$17,0,0,0
168-10025778-1Z9483440344618978,$0,$0,$0,$0,$5,$0,$0,$0,$0,$5,0,0,0
108-10025919-60900,$0,"$4,778",$0,$341,"$13,569",$0,"$2,753",$0,$194,"$7,859",341.27,341.27,0
108-10025919-1Z9483440346562882,$0,$0,$0,$0,$19,$0,$0,$0,$0,$19,0,0,0
180-10022725-50132441751,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
180-10022725-5742,$0,$731,$0,$0,"$1,328",$0,$517,$0,$0,$941,0,0,0
180-10022725-27550,$0,"$8,122",$0,"$3,124","$12,495",$0,"$4,224",$0,"$1,648","$6,479",0,0,0
180-10022725-61854,$0,$329,$0,$0,$493,$0,$157,$0,$0,$236,0,0,0
180-10022725-13910,$0,$497,$0,$0,$870,$0,$242,$0,$0,$423,0,0,0
180-10022725-20990,$0,"$1,396",$0,$0,"$2,618",$0,$692,$0,$0,"$1,298",0,0,0
180-10022725-21390,$0,$965,$0,$241,"$1,447",$0,$541,$0,$135,$811,0,0,0
180-10022725-265072,$0,"$5,834",$0,$0,"$10,696",$0,"$3,014",$0,$0,"$5,526",0,0,0
136-10023221-60631,$0,$328,$0,$0,$492,$0,$173,$0,$0,$260,0,0,0
136-10023221-1z9483440344143114,$0,$0,$0,$0,$6,$0,$0,$0,$0,$6,0,0,0
116-10021175-1Z9483440344702108,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
116-10021175-34797,$0,$12,$0,$0,$18,$0,$9,$0,$0,$14,0,0,0
136-10023221-63570,$0,$293,$0,$0,$486,$0,$170,$0,$0,$281,0,0,0
136-10023221-1z9483440346910906,$0,$0,$0,$0,$24,$0,$0,$0,$0,$24,0,0,0
136-10023221-                         ,$0,$69,$0,$69,$430,$0,$69,$0,$69,$430,0,0,0
117-10021977-1z9483440346973894,$0,$0,$0,$0,$11,$0,$0,$0,$0,$11,0,0,0
117-10021977-61768,$0,$193,$0,$0,$290,$0,$131,$0,$0,$196,0,0,0
112-10025251-1Z9483440344242954,$0,$0,$0,$0,$16,$0,$0,$0,$0,$16,0,0,0
112-10025251-34440,$0,"$2,973",$0,$0,"$7,098",$0,"$1,208",$0,$0,"$2,884",0,0,0
113-10024248-39185,$0,"$2,434",$0,$274,"$4,162",$0,$896,$0,$92,"$1,538",0,0,0
125-10015495-                         ,$0,$161,$0,$161,$420,$0,$161,$0,$161,$420,0,0,0
125-10015495-1Z9483440345998771,$0,$0,$0,$0,$6,$0,$0,$0,$0,$6,0,0,0
103-10002506-30268,$0,$12,$0,$0,$19,$0,$9,$0,$0,$13,0,0,0
103-10002506-61736,$0,$6,$0,$0,$10,$0,$5,$0,$0,$8,0,0,0
103-10002506-1z9483440344308080,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
175-10007121-1Z9483440144273522,$0,$0,$0,$0,$38,$0,$0,$0,$0,$38,0,0,0
175-10007121-39340,$0,$444,$0,$0,$666,$0,$10,$0,$0,$15,0,0,0
105-10016549-38844,$0,"$1,673",$0,$212,"$3,029",$0,$827,$0,$106,"$1,495",0,0,0
105-10016549-50132442072,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
105-10016549-13848,$0,$12,$0,$0,$18,$0,$8,$0,$0,$12,0,0,0
105-10016549-30311,$0,$382,$0,$96,$573,$0,$189,$0,$48,$283,0,0,0
105-10016549-15236,$0,$41,$0,$0,$62,$0,$32,$0,$0,$49,0,0,0
105-10016549-1z9483440344288647,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
105-10016549-28761,$0,$176,$0,$0,$441,$0,$81,$0,$0,$202,0,0,0
144-10020927-29394,$0,$136,$0,$0,$204,$0,$111,$0,$0,$167,0,0,0
144-10020927-                         ,$0,$0,$0,$0,$23,$0,$0,$0,$0,$23,0,0,0
144-10020927-63065,$0,$260,$0,$0,$390,$0,$133,$0,$0,$199,0,0,0
144-10020927-1Z9483440345547641,$0,$0,$0,$0,$49,$0,$0,$0,$0,$49,0,0,0
103-10002506-34975,$0,$715,$0,$0,"$1,073",$0,$371,$0,$0,$556,0,0,0
121-10003720-31150,$0,$138,$0,$46,$183,$0,$76,$0,$25,$101,0,0,0
121-10003720-1Z9483440346658574,$0,$0,$0,$0,$5,$0,$0,$0,$0,$5,0,0,0
167-10009907-17801,$0,"$16,110",$0,"$1,431","$86,286",$0,"$8,469",$0,$985,"$42,692",0,0,0
167-10009907-470256418465,$0,$0,$0,$0,$179,$0,$0,$0,$0,$179,0,0,0
115-10008134-63815,$0,$9,$0,$0,$14,$0,$4,$0,$0,$7,0,0,0
115-10008134-1Z9483440346029182,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
180-10023715-27512,$0,$18,$0,$0,$27,$0,$3,$0,$0,$5,0,0,0
176-10012422-1z9483440344291599,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
176-10012422-63066,$0,"$1,463",$0,$0,"$2,195",$0,$755,$0,$0,"$1,132",0,0,0
113-10011398-1Z9483440346224023,$0,$0,$0,$0,$13,$0,$0,$0,$0,$13,0,0,0
113-10011398-61752,$0,$862,$0,$0,"$1,293",$0,($86),$0,$0,($129),0,0,0
115-10017638-33548,$0,$137,$0,$0,$342,$0,$39,$0,$0,$98,0,0,0
115-10017638-                         ,$0,$268,$0,$251,"$1,145",$0,$268,$0,$251,"$1,145",0,0,0
115-10017638-1Z9483440344453511,$0,$0,$0,$0,$20,$0,$0,$0,$0,$20,0,0,0
175-10014264-62902,$0,$0,$0,$0,$0,$0,($2),$0,($1),($2),0,0,0
175-10014264-1Z9483440345395190,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
166-10015275-37060,$0,$144,$0,$0,$216,$0,$54,$0,$0,$82,0,0,0
166-10015275-1Z9483440344576586,$0,$0,$0,$0,$16,$0,$0,$0,$0,$16,0,0,0
143-10025025-39594,$0,$917,$0,$0,"$1,424",$0,$575,$0,$0,$893,0,0,0
143-10025025-1Z9483440345518682,$0,$0,$0,$0,$16,$0,$0,$0,$0,$16,0,0,0
180-10023715-1Z9483440345875537,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
180-10023715-29293,$0,$140,$0,$0,$209,$0,$49,$0,$0,$73,0,0,0
173-10009985-1Z9483440344034438,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
173-10009985-                         ,$0,$76,$0,$76,"$1,703",$0,$76,$0,$76,"$1,703",0,0,0
173-10009985-61385,$0,$82,$0,$82,$327,$0,$19,$0,$19,$13,0,0,0
113-10024248-63253,$0,"$1,149",$0,$0,"$2,287",$0,$598,$0,$0,"$1,170",0,0,0
103-10002506-39294,$0,$21,$0,$0,$32,$0,$10,$0,$0,$15,0,0,0
103-10002506-39335,$0,$156,$0,$0,$284,$0,$76,$0,$0,$139,0,0,0
158-10019900-39248,$0,$87,$0,$0,$130,$0,$43,$0,$0,$64,0,0,0
158-10019900-1Z9483440345581256,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
108-10003795-915400,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
108-10003795-1Z9483440346016007,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
115-10017638-28761,$0,"$4,403",$0,$0,"$9,064",$0,"$1,968",$0,$0,"$4,056",0,0,0
103-10002506-7612,$0,$9,$0,$0,$19,$0,$6,$0,$0,$12,0,0,0
103-10002506-1Z9483440344400210,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
108-10025919-1Z9483440344935849,$0,$0,$0,$0,$6,$0,$0,$0,$0,$6,0,0,0
108-10025919-28880,$0,$59,$0,$0,$88,$0,$36,$0,$0,$54,0,0,0
172-10006093-1Z9483440345865342,$0,$0,$0,$0,$20,$0,$0,$0,$0,$20,0,0,0
114-10020184-37559,$0,"$14,060",$0,"$3,385","$37,384",$0,"$2,163",$0,$671,"$4,748",3536.1,3536.1,0
144-10018628-WILL CALL,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
144-10018628-62027,$0,"$2,405",$0,$105,"$4,497",$0,"$1,192",$0,$67,"$2,050",0,0,0
144-10018628-17801,$0,"$18,137",$0,$0,"$36,273",$0,"$8,243",$0,$0,"$16,487",0,0,0
144-10018628-38060,$0,"$1,293",$0,$0,"$1,939",$0,$780,$0,$0,"$1,171",0,0,0
105-10025296-61854,$0,$0,$0,$0,$0,$0,($171),$0,$0,($257),0,0,0
105-10025296-1Z9483440344773309,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
180-10012715-470256418400,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
180-10012715-16464,$0,$6,$0,$0,$9,$0,$4,$0,$0,$7,0,0,0
155-10011734-1z9483440346539685,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
155-10011734-29091,$0,$356,$0,$0,"$1,692",$0,$119,$0,$0,$565,0,0,0
155-10011734-38826,$0,"$1,007",$0,$0,"$2,518",$0,$710,$0,$0,"$1,776",0,0,0
139-10018644-50132441719,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
139-10018644-63865,$0,$300,$0,$0,$449,$0,$104,$0,$0,$157,0,0,0
139-10018644-63870,$0,$279,$0,$0,$419,$0,$100,$0,$0,$150,0,0,0
139-10018644-63875,$0,$279,$0,$0,$419,$0,$98,$0,$0,$147,0,0,0
139-10018644-63860,$0,$279,$0,$0,$419,$0,$99,$0,$0,$148,0,0,0
145-10025248-39340,$0,$234,$0,$0,$351,$0,$17,$0,$0,$25,0,0,0
145-10025248-1z9483440345699371,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
144-10023275-26006,$0,$7,$0,$0,$11,$0,$5,$0,$0,$7,0,0,0
180-10023715-32956,$0,$134,$0,$0,$201,$0,$43,$0,$0,$64,0,0,0
180-10023715-                         ,$0,$452,$0,$452,"$2,246",$0,$452,$0,$452,"$2,246",0,0,0
180-10023715-1Z9483440345971610,$0,$0,$0,$0,$20,$0,$0,$0,$0,$20,0,0,0
173-10009985-1Z9483440346819408,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
173-10009985-37060,$0,$194,$0,$130,$454,$0,$65,$0,$45,$145,64.8,64.8,0
120-10016334-63870,$0,$279,$0,$0,$419,$0,$100,$0,$0,$150,0,0,0
120-10016334-63875,$0,$279,$0,$0,$419,$0,$98,$0,$0,$147,0,0,0
120-10016334-63865,$0,$450,$0,$0,$674,$0,$157,$0,$0,$235,0,0,0
120-10016334-63860,$0,$419,$0,$0,$628,$0,$148,$0,$0,$222,0,0,0
125-10015495-7532,$0,$420,$0,$47,$971,$0,$233,$0,$26,$536,0,0,0
125-10015495-1Z9483440345908206,$0,$0,$0,$0,$5,$0,$0,$0,$0,$5,0,0,0
108-10003795-14227,$0,$48,$0,$0,$72,$0,$35,$0,$0,$52,0,0,0
108-10003795-1Z9483440344615159,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
155-10011734-28751,$0,$256,$0,$0,$897,$0,$112,$0,$0,$354,0,0,0
180-10012715-470256418395,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
180-10012715-39124,$0,$166,$0,$0,$332,$0,$111,$0,$0,$222,0,0,0
107-10020684-40621,$0,$0,$0,$0,$0,$0,"($1,100)",$0,$0,"($1,650)",0,0,0
107-10020684-50132441727,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
167-10025038-1Z9483440344358311,$0,$0,$0,$0,$9,$0,$0,$0,$0,$9,0,0,0
167-10025038-34862,$0,"$1,579",$0,$0,"$3,948",$0,"$1,004",$0,$0,"$2,510",0,0,0
108-10025919-61541,$0,$56,$0,$0,$84,$0,$28,$0,$0,$42,0,0,0
108-10025919-1Z9483440345593921,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
175-10021911-32956,$0,$213,$0,$0,$354,$0,$75,$0,$0,$126,0,0,0
175-10021911-1Z9483440344362397,$0,$0,$0,$0,$20,$0,$0,$0,$0,$20,0,0,0
180-10012715-470256418443,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
180-10012715-37131,$0,$237,$0,$39,$355,$0,$125,$0,$21,$187,0,0,0
108-10025919-1Z9483440345722568,$0,$0,$0,$0,$16,$0,$0,$0,$0,$16,0,0,0
180-10012715-470256418432,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
180-10012715-62840,$0,$55,$0,$0,$82,$0,$39,$0,$0,$59,0,0,0
180-10012715-                         ,$0,$78,$0,$78,$509,$0,$78,$0,$78,$509,0,0,0
155-10018665-28401,$0,"$12,291",$0,"$9,619","$26,464",$0,"$6,015",$0,"$4,735","$12,818",0,0,0
155-10018665-28751,$0,$502,$0,$0,$878,$0,$214,$0,$0,$364,0,0,0
155-10018665-13047,$0,$102,$0,$46,$250,$0,$40,$0,$18,$98,0,0,0
155-10018665-38805,$0,$426,$0,$0,$640,$0,$147,$0,$0,$221,0,0,0
155-10018665-61861,$0,$136,$0,$0,$814,$0,$86,$0,$0,$516,0,0,0
155-10018665-13910,$0,$775,$0,$358,"$1,776",$0,$374,$0,$180,$833,0,0,0
155-10018665-37880,$0,$917,$0,$0,"$1,819",$0,$438,$0,$0,$862,0,0,0
155-10018665-29395,$0,$166,$0,$0,$332,$0,$57,$0,$0,$99,0,0,0
155-10018665-61753,$0,"$1,689",$0,$0,"$2,534",$0,($207),$0,$0,($311),0,0,0
155-10018665-61859,$0,"$1,546",$0,$0,"$3,447",$0,$703,$0,$0,"$1,571",0,0,0
103-10002506-63560,$0,$489,$0,$0,"$1,794",$0,$173,$0,$0,$687,0,0,0
103-10002506-1Z9483440346986031,$0,$0,$0,$0,$5,$0,$0,$0,$0,$5,0,0,0
143-10025025-63065,$0,$772,$0,$129,"$1,287",$0,$400,$0,$74,$670,0,0,0
134-10019388-1Z9483440345096530,$0,$0,$0,$0,$5,$0,$0,$0,$0,$5,0,0,0
134-10019388-61738,$0,$71,$0,$0,$107,$0,$33,$0,$0,$50,0,0,0
134-10019388-61739,$0,$65,$0,$0,$97,$0,$34,$0,$0,$51,0,0,0
130-10026336-50132442048,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
130-10026336-39185,$0,"$5,852",$0,$0,"$10,234",$0,"$2,234",$0,$0,"$3,902",-891.26,0,0
121-10020445-                         ,$0,$0,$0,$0,($4),$0,$0,$0,$0,($4),0,0,0
121-10020445-36030,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
105-10016549-35241,$0,$221,$0,$110,$276,$0,$85,$0,$43,$106,0,0,0
105-10016549-1Z9483440346236412,$0,$0,$0,$0,$6,$0,$0,$0,$0,$6,0,0,0
180-10022725-62949,$0,"$1,498",$0,$0,"$2,248",$0,$186,$0,$0,$279,0,0,0
121-10008638-1z9483440345390711,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
121-10024270-50132442113,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
121-10024270-25987,$0,$173,$0,$0,$259,$0,$140,$0,$0,$210,0,0,0
121-10024270-31149,$0,$235,$0,$0,$565,$0,$136,$0,$0,$326,0,0,0
121-10024270-23675,$0,$514,$0,$0,"$1,543",$0,$304,$0,$0,$913,0,0,0
121-10024270-27550,$0,"$26,939",$0,"$3,673","$49,591",$0,"$13,672",$0,"$1,902","$25,169",0,0,0
121-10024270-47550,$0,"$11,793",$0,"$2,621","$19,001",$0,"$6,079",$0,"$1,367","$9,801",0,0,0
121-10024270-47801,$0,"$8,270",$0,$919,"$18,378",$0,"$3,992",$0,$447,"$8,398",0,0,0
121-10024270-30289,$0,"$5,049",$0,$0,"$11,781",$0,"$1,770",$0,$0,"$4,148",0,0,0
173-10009985-1Z9483440346634303,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
118-10014739-1Z9483440346418145,$0,$0,$0,$0,$5,$0,$0,$0,$0,$5,0,0,0
118-10014739-13774,$0,$566,$0,$141,"$1,202",$0,$304,$0,$77,$613,0,0,0
115-10017638-1Z9483440346457639,$0,$0,$0,$0,$24,$0,$0,$0,$0,$24,0,0,0
125-10015495-1Z9483440344804043,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
115-10023447-38805,$0,$211,$0,$0,$317,$0,$71,$0,$0,$107,0,0,0
125-10014546-1z9483440346207033,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
115-10017638-1Z9483440346639442,$0,$0,$0,$0,$33,$0,$0,$0,$0,$33,0,0,0
125-10015495-39968,$0,$185,$0,$0,$277,$0,$96,$0,$0,$144,0,0,0
108-10025919-1Z9483440345291284,$0,$0,$0,$0,$5,$0,$0,$0,$0,$5,0,0,0
108-10025919-61560,$0,$303,$0,$76,"$3,254",$0,$187,$0,$47,"$1,947",0,0,0
180-10012715-470256418410,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
108-10025919-61396,$0,$118,$0,$0,$177,$0,$45,$0,$0,$67,0,0,0
108-10025919-1Z9483440346664987,$0,$0,$0,$0,$14,$0,$0,$0,$0,$14,0,0,0
108-10025919-1Z9483440344168679,$0,$0,$0,$0,$5,$0,$0,$0,$0,$5,0,0,0
117-10013238-1z9483440346179761,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
180-10012715-470256418454,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
180-10012715-27326,$0,$426,$0,$0,$639,$0,$276,$0,$0,$414,0,0,0
108-10025919-1Z9483440344045917,$0,$0,$0,$0,$19,$0,$0,$0,$0,$19,0,0,0
108-10022750-34029,$0,$14,$0,$0,$20,$0,$13,$0,$0,$20,0,0,0
108-10022750-1z9483440346064803,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
103-10002506-WILL CALL,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
103-10002506-62331,$0,$293,$0,$0,$586,$0,$127,$0,$0,$253,0,0,0
130-10026839-1Z9483440345385503,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
130-10026839-                         ,$0,$378,$0,$378,"$1,805",$0,$378,$0,$378,"$1,805",0,0,0
108-10022750-62624,$0,$333,$0,$0,$500,$0,$124,$0,$0,$186,0,0,0
107-10022490-1Z9483440246169050,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
107-10022490-34797,$0,$11,$0,$0,$17,$0,$9,$0,$0,$13,0,0,0
180-10012715-470256418421,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
180-10012715-21012,$0,$54,$0,$0,$81,$0,$47,$0,$0,$70,27.15,27.15,0
119-10000472-61752,$0,"$1,320",$0,$0,"$1,320",$0,($18),$0,$0,($103),0,0,0
119-10000472-1Z9483440345980440,$0,$0,$0,$0,$22,$0,$0,$0,$0,$22,0,0,0
162-10025249-62623,$0,"$1,236",$0,$0,"$2,205",$0,$347,$0,$0,$642,0,0,0
