Sales by Customer by YearQuarter,Low,High
34.25,$1,"$1,000"
1808.9,"$1,000","$2,000"
30087.03,"$25,000","$100,000"
20681.02,"$5,000","$25,000"
79.91,$1,"$1,000"
8.11,$1,"$1,000"
6798,"$5,000","$25,000"
44478.21,"$25,000","$100,000"
119706.32,"$100,000","$250,000"
30024.16,"$25,000","$100,000"
658990.95,"$500,000","$1,000,000"
621914.23,"$500,000","$1,000,000"
12516.24,"$5,000","$25,000"
2312.51,"$2,000","$5,000"
316046.91,"$250,000","$500,000"
57384.26,"$25,000","$100,000"
6744.28,"$5,000","$25,000"
274989.72,"$250,000","$500,000"
4808.8,"$2,000","$5,000"
88198.46,"$25,000","$100,000"
1100.65,"$1,000","$2,000"
1613.4,"$1,000","$2,000"
30567.35,"$25,000","$100,000"
194426.62,"$100,000","$250,000"
10083.85,"$5,000","$25,000"
11173.3,"$5,000","$25,000"
17662.63,"$5,000","$25,000"
790904.33,"$500,000","$1,000,000"
3489.95,"$2,000","$5,000"
25178.41,"$25,000","$100,000"
3092.73,"$2,000","$5,000"
5897.58,"$5,000","$25,000"
38951.69,"$25,000","$100,000"
77550.65,"$25,000","$100,000"
111786.07,"$100,000","$250,000"
155992.32,"$100,000","$250,000"
6077.34,"$5,000","$25,000"
193548.06,"$100,000","$250,000"
376687.18,"$250,000","$500,000"
130057.55,"$100,000","$250,000"
214777.15,"$100,000","$250,000"
26277.39,"$25,000","$100,000"
2162.24,"$2,000","$5,000"
61952.27,"$25,000","$100,000"
208473.79,"$100,000","$250,000"
269097.54,"$250,000","$500,000"
20147.32,"$5,000","$25,000"
118072.66,"$100,000","$250,000"
813.37,$1,"$1,000"
99.07,$1,"$1,000"
54332.71,"$25,000","$100,000"
9409.7,"$5,000","$25,000"
10718.96,"$5,000","$25,000"
103434.92,"$100,000","$250,000"
23637.86,"$5,000","$25,000"
175460.67,"$100,000","$250,000"
16437.23,"$5,000","$25,000"
44329.62,"$25,000","$100,000"
5408.3,"$5,000","$25,000"
217563.31,"$100,000","$250,000"
109867.31,"$100,000","$250,000"
13875.06,"$5,000","$25,000"
4529.01,"$2,000","$5,000"
237961.25,"$100,000","$250,000"
13807.11,"$5,000","$25,000"
24349.02,"$5,000","$25,000"
1792.56,"$1,000","$2,000"
86644.52,"$25,000","$100,000"
5952.42,"$5,000","$25,000"
67319.66,"$25,000","$100,000"
865.28,$1,"$1,000"
20400.14,"$5,000","$25,000"
20663.76,"$5,000","$25,000"
66092.15,"$25,000","$100,000"
78716.72,"$25,000","$100,000"
7260.71,"$5,000","$25,000"
53466.35,"$25,000","$100,000"
1107.9,"$1,000","$2,000"
16543.72,"$5,000","$25,000"
1447.37,"$1,000","$2,000"
22533.35,"$5,000","$25,000"
51049.33,"$25,000","$100,000"
6491.3,"$5,000","$25,000"
15271.92,"$5,000","$25,000"
257387.43,"$250,000","$500,000"
623.83,$1,"$1,000"
52915.77,"$25,000","$100,000"
371904.27,"$250,000","$500,000"
11942.6,"$5,000","$25,000"
240.98,$1,"$1,000"
42402.88,"$25,000","$100,000"
14341.94,"$5,000","$25,000"
468.26,$1,"$1,000"
14855.43,"$5,000","$25,000"
10049.04,"$5,000","$25,000"
41659.44,"$25,000","$100,000"
62335.6,"$25,000","$100,000"
74464.34,"$25,000","$100,000"
9588.86,"$5,000","$25,000"
1894.81,"$1,000","$2,000"
58752.05,"$25,000","$100,000"
116481.85,"$100,000","$250,000"
29445.45,"$25,000","$100,000"
5941.86,"$5,000","$25,000"
378.18,$1,"$1,000"
16442.65,"$5,000","$25,000"
26563.89,"$25,000","$100,000"
24612.89,"$5,000","$25,000"
21990.97,"$5,000","$25,000"
51261.28,"$25,000","$100,000"
64052.26,"$25,000","$100,000"
15667.42,"$5,000","$25,000"
8031.44,"$5,000","$25,000"
46573.95,"$25,000","$100,000"
168831.22,"$100,000","$250,000"
14267.07,"$5,000","$25,000"
28766.87,"$25,000","$100,000"
8511.98,"$5,000","$25,000"
495.87,$1,"$1,000"
138060.62,"$100,000","$250,000"
12185.79,"$5,000","$25,000"
737.58,$1,"$1,000"
13269.1,"$5,000","$25,000"
2825465.98,"$1,000,000","$9,999,999"
6614.37,"$5,000","$25,000"
594380.02,"$500,000","$1,000,000"
10429.13,"$5,000","$25,000"
42101.74,"$25,000","$100,000"
21258.29,"$5,000","$25,000"
106028.66,"$100,000","$250,000"
62810.38,"$25,000","$100,000"
46376.9,"$25,000","$100,000"
2975.25,"$2,000","$5,000"
12163.73,"$5,000","$25,000"
5642.28,"$5,000","$25,000"
148173.89,"$100,000","$250,000"
54550.08,"$25,000","$100,000"
51995.47,"$25,000","$100,000"
122978.24,"$100,000","$250,000"
48913.02,"$25,000","$100,000"
281062.66,"$250,000","$500,000"
99522.88,"$25,000","$100,000"
891.09,$1,"$1,000"
1721665.6,"$1,000,000","$9,999,999"
434756.84,"$250,000","$500,000"
85147.47,"$25,000","$100,000"
14870.04,"$5,000","$25,000"
833.12,$1,"$1,000"
22081.61,"$5,000","$25,000"
8396.06,"$5,000","$25,000"
29435.34,"$25,000","$100,000"
13676.56,"$5,000","$25,000"
14039.59,"$5,000","$25,000"
9180.83,"$5,000","$25,000"
1086.09,"$1,000","$2,000"
55945.95,"$25,000","$100,000"
127157.11,"$100,000","$250,000"
7550.91,"$5,000","$25,000"
25873.5,"$25,000","$100,000"
2865.7,"$2,000","$5,000"
5867.7,"$5,000","$25,000"
9459.66,"$5,000","$25,000"
11204.41,"$5,000","$25,000"
3255.12,"$2,000","$5,000"
11367.84,"$5,000","$25,000"
5914.41,"$5,000","$25,000"
354291.58,"$250,000","$500,000"
17208.92,"$5,000","$25,000"
61755.31,"$25,000","$100,000"
48460.75,"$25,000","$100,000"
3331.25,"$2,000","$5,000"
24090.25,"$5,000","$25,000"
28688.74,"$25,000","$100,000"
58126.29,"$25,000","$100,000"
15804.09,"$5,000","$25,000"
16750.88,"$5,000","$25,000"
314.58,$1,"$1,000"
41443.63,"$25,000","$100,000"
448.99,$1,"$1,000"
16114.97,"$5,000","$25,000"
3466.45,"$2,000","$5,000"
3144.09,"$2,000","$5,000"
16739.3,"$5,000","$25,000"
42215.63,"$25,000","$100,000"
5724.72,"$5,000","$25,000"
38265.85,"$25,000","$100,000"
309351.2,"$250,000","$500,000"
34596.77,"$25,000","$100,000"
1110.49,"$1,000","$2,000"
5290.22,"$5,000","$25,000"
9427.86,"$5,000","$25,000"
67887.96,"$25,000","$100,000"
57672.52,"$25,000","$100,000"
368.23,$1,"$1,000"
13618.54,"$5,000","$25,000"
4493.72,"$2,000","$5,000"
9287.72,"$5,000","$25,000"
-1161.48,"($99,000)",$1
100645.05,"$100,000","$250,000"
375175.55,"$250,000","$500,000"
4412.38,"$2,000","$5,000"
1957.52,"$1,000","$2,000"
3122752.5,"$1,000,000","$9,999,999"
3494.53,"$2,000","$5,000"
2706.65,"$2,000","$5,000"
6030.14,"$5,000","$25,000"
917.82,$1,"$1,000"
136389.42,"$100,000","$250,000"
16854.21,"$5,000","$25,000"
5751.48,"$5,000","$25,000"
16914.85,"$5,000","$25,000"
906.02,$1,"$1,000"
595982.32,"$500,000","$1,000,000"
6683.09,"$5,000","$25,000"
3093.22,"$2,000","$5,000"
1566.32,"$1,000","$2,000"
12168.1,"$5,000","$25,000"
2152.24,"$2,000","$5,000"
1251.19,"$1,000","$2,000"
5061.06,"$5,000","$25,000"
3360.99,"$2,000","$5,000"
499.89,$1,"$1,000"
1099.63,"$1,000","$2,000"
559.16,$1,"$1,000"
484.28,$1,"$1,000"
447.33,$1,"$1,000"
1230.17,"$1,000","$2,000"
186.39,$1,"$1,000"
4595.97,"$2,000","$5,000"
2686.48,"$2,000","$5,000"
5445.64,"$5,000","$25,000"
1942.16,"$1,000","$2,000"
4126.54,"$2,000","$5,000"
11627.86,"$5,000","$25,000"
2402.11,"$2,000","$5,000"
4750.45,"$2,000","$5,000"
191969.52,"$100,000","$250,000"
914.39,$1,"$1,000"
60800.81,"$25,000","$100,000"
1570.39,"$1,000","$2,000"
881.95,$1,"$1,000"
4084.87,"$2,000","$5,000"
-176.61,"($99,000)",$1
14591.27,"$5,000","$25,000"
20905.39,"$5,000","$25,000"
3345.29,"$2,000","$5,000"
28771.83,"$25,000","$100,000"
92199.47,"$25,000","$100,000"
2158.14,"$2,000","$5,000"
531.48,$1,"$1,000"
3104.41,"$2,000","$5,000"
6000.06,"$5,000","$25,000"
35728.96,"$25,000","$100,000"
8067.05,"$5,000","$25,000"
892.09,$1,"$1,000"
50932.32,"$25,000","$100,000"
31.97,$1,"$1,000"
2906.99,"$2,000","$5,000"
50608.19,"$25,000","$100,000"
224.81,$1,"$1,000"
29399.05,"$25,000","$100,000"
2945.27,"$2,000","$5,000"
13051.98,"$5,000","$25,000"
2183.7,"$2,000","$5,000"
4062.96,"$2,000","$5,000"
23856.13,"$5,000","$25,000"
3912.24,"$2,000","$5,000"
39968.56,"$25,000","$100,000"
12985.52,"$5,000","$25,000"
44078.65,"$25,000","$100,000"
1450.47,"$1,000","$2,000"
1645.22,"$1,000","$2,000"
5168.84,"$5,000","$25,000"
2798.91,"$2,000","$5,000"
14760.77,"$5,000","$25,000"
520.78,$1,"$1,000"
16111.92,"$5,000","$25,000"
1634.43,"$1,000","$2,000"
2537.56,"$2,000","$5,000"
1810.23,"$1,000","$2,000"
663.32,$1,"$1,000"
6989.54,"$5,000","$25,000"
499.17,$1,"$1,000"
601.05,$1,"$1,000"
2137.28,"$2,000","$5,000"
62.99,$1,"$1,000"
465.93,$1,"$1,000"
396.72,$1,"$1,000"
9531.61,"$5,000","$25,000"
4085.55,"$2,000","$5,000"
660590.02,"$500,000","$1,000,000"
758.9,$1,"$1,000"
5457.19,"$5,000","$25,000"
56678.58,"$25,000","$100,000"
229.59,$1,"$1,000"
435.17,$1,"$1,000"
4042.84,"$2,000","$5,000"
8084.32,"$5,000","$25,000"
467.83,$1,"$1,000"
378.06,$1,"$1,000"
11205.59,"$5,000","$25,000"
1008.46,"$1,000","$2,000"
3360.67,"$2,000","$5,000"
614.28,$1,"$1,000"
34131.86,"$25,000","$100,000"
176.8,$1,"$1,000"
4968.75,"$2,000","$5,000"
8561.09,"$5,000","$25,000"
13166.77,"$5,000","$25,000"
5882.95,"$5,000","$25,000"
9.97,$1,"$1,000"
1284.27,"$1,000","$2,000"
857.39,$1,"$1,000"
1147.62,"$1,000","$2,000"
495.17,$1,"$1,000"
1693.05,"$1,000","$2,000"
818.65,$1,"$1,000"
790.54,$1,"$1,000"
4577.44,"$2,000","$5,000"
43677.45,"$25,000","$100,000"
512.72,$1,"$1,000"
899.79,$1,"$1,000"
2613.7,"$2,000","$5,000"
286.13,$1,"$1,000"
396.69,$1,"$1,000"
6908.92,"$5,000","$25,000"
2682.74,"$2,000","$5,000"
3315.44,"$2,000","$5,000"
11067.09,"$5,000","$25,000"
289.72,$1,"$1,000"
30.91,$1,"$1,000"
4497.6,"$2,000","$5,000"
21818,"$5,000","$25,000"
1481.06,"$1,000","$2,000"
35528.38,"$25,000","$100,000"
844.52,$1,"$1,000"
30556,"$25,000","$100,000"
640.01,$1,"$1,000"
1264.67,"$1,000","$2,000"
3313.6,"$2,000","$5,000"
47.23,$1,"$1,000"
35524.19,"$25,000","$100,000"
15030.79,"$5,000","$25,000"
151.61,$1,"$1,000"
10880.4,"$5,000","$25,000"
748.75,$1,"$1,000"
346.16,$1,"$1,000"
2090.97,"$2,000","$5,000"
16586.01,"$5,000","$25,000"
20830.5,"$5,000","$25,000"
12049.83,"$5,000","$25,000"
137689.85,"$100,000","$250,000"
2852.83,"$2,000","$5,000"
59441.28,"$25,000","$100,000"
9098,"$5,000","$25,000"
1373.44,"$1,000","$2,000"
57117.82,"$25,000","$100,000"
61578.46,"$25,000","$100,000"
22596.82,"$5,000","$25,000"
198777.79,"$100,000","$250,000"
102166.24,"$100,000","$250,000"
118248.82,"$100,000","$250,000"
35043.88,"$25,000","$100,000"
27073.1,"$25,000","$100,000"
285485.64,"$250,000","$500,000"
800136.34,"$500,000","$1,000,000"
49602.57,"$25,000","$100,000"
25666.92,"$25,000","$100,000"
2635.87,"$2,000","$5,000"
324386.09,"$250,000","$500,000"
21708.39,"$5,000","$25,000"
8861.57,"$5,000","$25,000"
181259.19,"$100,000","$250,000"
66126,"$25,000","$100,000"
12044.73,"$5,000","$25,000"
217340.05,"$100,000","$250,000"
20221.32,"$5,000","$25,000"
9864.15,"$5,000","$25,000"
3706.2,"$2,000","$5,000"
30958.15,"$25,000","$100,000"
47083.05,"$25,000","$100,000"
591415.36,"$500,000","$1,000,000"
26788.04,"$25,000","$100,000"
104638.64,"$100,000","$250,000"
156460.01,"$100,000","$250,000"
9960.78,"$5,000","$25,000"
177369.39,"$100,000","$250,000"
31883.23,"$25,000","$100,000"
265705.28,"$250,000","$500,000"
33700.76,"$25,000","$100,000"
16986.81,"$5,000","$25,000"
14320.17,"$5,000","$25,000"
16270.53,"$5,000","$25,000"
10503.13,"$5,000","$25,000"
2675.45,"$2,000","$5,000"
163554.75,"$100,000","$250,000"
3359.82,"$2,000","$5,000"
215571.5,"$100,000","$250,000"
8065.01,"$5,000","$25,000"
6717.7,"$5,000","$25,000"
33087.38,"$25,000","$100,000"
144479.96,"$100,000","$250,000"
25672.64,"$25,000","$100,000"
17957.03,"$5,000","$25,000"
182546.23,"$100,000","$250,000"
4690.57,"$2,000","$5,000"
37053.31,"$25,000","$100,000"
20410.16,"$5,000","$25,000"
4377.61,"$2,000","$5,000"
3549.68,"$2,000","$5,000"
4644.33,"$2,000","$5,000"
22248.41,"$5,000","$25,000"
20946.95,"$5,000","$25,000"
109835.59,"$100,000","$250,000"
3375.79,"$2,000","$5,000"
29434.67,"$25,000","$100,000"
30998.77,"$25,000","$100,000"
53064.53,"$25,000","$100,000"
14977.53,"$5,000","$25,000"
77967.32,"$25,000","$100,000"
22331.44,"$5,000","$25,000"
50291.72,"$25,000","$100,000"
53313.76,"$25,000","$100,000"
325.51,$1,"$1,000"
30997.98,"$25,000","$100,000"
2206847.28,"$1,000,000","$9,999,999"
1299.44,"$1,000","$2,000"
45675.85,"$25,000","$100,000"
944684.97,"$500,000","$1,000,000"
34726.02,"$25,000","$100,000"
29154.83,"$25,000","$100,000"
13495.43,"$5,000","$25,000"
31644.93,"$25,000","$100,000"
142367.24,"$100,000","$250,000"
8589.54,"$5,000","$25,000"
2874.63,"$2,000","$5,000"
3157.7,"$2,000","$5,000"
65220.1,"$25,000","$100,000"
15154.93,"$5,000","$25,000"
10481.22,"$5,000","$25,000"
215138.68,"$100,000","$250,000"
13046.86,"$5,000","$25,000"
162716.18,"$100,000","$250,000"
235047.15,"$100,000","$250,000"
21424.92,"$5,000","$25,000"
9839.02,"$5,000","$25,000"
18804.81,"$5,000","$25,000"
953.05,$1,"$1,000"
49439.56,"$25,000","$100,000"
15198.32,"$5,000","$25,000"
25732.27,"$25,000","$100,000"
19330.87,"$5,000","$25,000"
12801.95,"$5,000","$25,000"
26614.93,"$25,000","$100,000"
77614.59,"$25,000","$100,000"
54062.49,"$25,000","$100,000"
3440.15,"$2,000","$5,000"
268482.47,"$250,000","$500,000"
3711.66,"$2,000","$5,000"
2763.91,"$2,000","$5,000"
2070.09,"$2,000","$5,000"
18023.7,"$5,000","$25,000"
1514.03,"$1,000","$2,000"
11816.2,"$5,000","$25,000"
15812.36,"$5,000","$25,000"
2160.64,"$2,000","$5,000"
8567.46,"$5,000","$25,000"
17155.37,"$5,000","$25,000"
50119.58,"$25,000","$100,000"
2276.58,"$2,000","$5,000"
11079.52,"$5,000","$25,000"
85667.69,"$25,000","$100,000"
4402.07,"$2,000","$5,000"
34641.91,"$25,000","$100,000"
30201.47,"$25,000","$100,000"
96860.89,"$25,000","$100,000"
14820.67,"$5,000","$25,000"
2468.95,"$2,000","$5,000"
27150.25,"$25,000","$100,000"
1648.16,"$1,000","$2,000"
5802.37,"$5,000","$25,000"
51001.44,"$25,000","$100,000"
29498.08,"$25,000","$100,000"
10086.82,"$5,000","$25,000"
271672.51,"$250,000","$500,000"
14070.27,"$5,000","$25,000"
5281.8,"$5,000","$25,000"
68414.21,"$25,000","$100,000"
1449.3,"$1,000","$2,000"
258935.78,"$250,000","$500,000"
1056.21,"$1,000","$2,000"
19371.83,"$5,000","$25,000"
9094.5,"$5,000","$25,000"
6313.93,"$5,000","$25,000"
407.98,$1,"$1,000"
14410.53,"$5,000","$25,000"
23755.18,"$5,000","$25,000"
1479.14,"$1,000","$2,000"
45814.74,"$25,000","$100,000"
7040.8,"$5,000","$25,000"
71393.71,"$25,000","$100,000"
28013.05,"$25,000","$100,000"
23584.94,"$5,000","$25,000"
362990.72,"$250,000","$500,000"
7180.16,"$5,000","$25,000"
1766.35,"$1,000","$2,000"
3433.18,"$2,000","$5,000"
61319.83,"$25,000","$100,000"
19463.99,"$5,000","$25,000"
13273.09,"$5,000","$25,000"
1669.82,"$1,000","$2,000"
82515.8,"$25,000","$100,000"
241554.53,"$100,000","$250,000"
3064.39,"$2,000","$5,000"
190170.1,"$100,000","$250,000"
3482.37,"$2,000","$5,000"
162050.46,"$100,000","$250,000"
109693.72,"$100,000","$250,000"
29016.46,"$25,000","$100,000"
17498.93,"$5,000","$25,000"
509367.61,"$500,000","$1,000,000"
94029.95,"$25,000","$100,000"
80609.7,"$25,000","$100,000"
1171.8,"$1,000","$2,000"
7139.04,"$5,000","$25,000"
39529.81,"$25,000","$100,000"
